Cercocebus atys
Cercopithecus mona
Cercopithecus neglectus
Chlorocebus aethiops
Chlorocebus sabaeus
Colobus angolensis
Erythrocebus patas
Gorilla gorilla
Homo sapiens subsp. Denisova
Hoolock leuconedys
Hylobates moloch
Hylobates pileatus
Lophocebus aterrimus
Macaca arctoides
Macaca assamensis
Macaca cyclopis
Macaca fuscata
Macaca nemestrina
Macaca nigra
Macaca silenus
Macaca thibetana
Mandrillus leucophaeus
Mandrillus sphinx
Miopithecus talapoin
Nasalis larvatus
Nomascus leucogenys
Nomascus siki
Pan paniscus
Papio anubis
Papio hamadryas
Papio papio
Piliocolobus tephrosceles
Pongo abelii
Pongo pygmaeus
Pygathrix nemaeus
Pygathrix nigripes
Rhinopithecus bieti
Rhinopithecus roxellana
Rhinopithecus strykeri
Semnopithecus entellus
Symphalangus syndactylus
Theropithecus gelada
Trachypithecus francoisi
Trachypithecus phayrei crepuscula
