Unnamed: 0,Tree1,Tree2,VLMC dist,threshold,min_count,max_depth,Tree1 VLMC size,Tree2 VLMC size,Tree1 GC ratio,Tree2 GC ratio,evo dist
0,Otolemur garnettii,Homo sapiens subsp. Denisova,0.125118,0.0,25,6,24576,24576,38.0133684512176,38.559771286614,73.75492
1,Otolemur garnettii,Tupaia belangeri,0.164089,0.0,25,6,24576,24576,38.0133684512176,39.90564559866216,84.73
2,Otolemur garnettii,Sorex araneus,0.140797,0.0,25,6,24576,24576,38.0133684512176,38.310947587616624,94.0
3,Otolemur garnettii,Erinaceus europaeus,0.161165,0.0,25,6,24576,24576,38.0133684512176,35.23760603795942,94.0
4,Otolemur garnettii,Felis catus,0.138169,0.0,25,6,24576,24576,38.0133684512176,41.29783220895761,94.0
5,Otolemur garnettii,Canis lupus familiaris,0.129544,0.0,25,6,24576,24576,38.0133684512176,40.74976861025216,94.0
6,Otolemur garnettii,Equus caballus,0.101757,0.0,25,6,24576,24576,38.0133684512176,40.82579448687693,94.0
7,Otolemur garnettii,Bos taurus,0.155564,0.0,25,6,24576,24576,38.0133684512176,41.42254341828584,94.0
8,Otolemur garnettii,Oryctolagus cuniculus,0.143385,0.0,25,6,24576,24576,38.0133684512176,42.28037946782452,87.2
9,Otolemur garnettii,Rattus norvegicus,0.120689,0.0,25,6,24576,24576,38.0133684512176,41.14000337454406,87.2
10,Otolemur garnettii,Cavia porcellus,0.0991773,0.0,25,6,24576,24576,38.0133684512176,38.58365568505605,87.2
11,Homo sapiens subsp. Denisova,Tupaia belangeri,0.185957,0.0,25,6,24576,24576,38.559771286614,39.90564559866216,84.73
12,Homo sapiens subsp. Denisova,Sorex araneus,0.170381,0.0,25,6,24576,24576,38.559771286614,38.310947587616624,94.0
13,Homo sapiens subsp. Denisova,Erinaceus europaeus,0.184964,0.0,25,6,24576,24576,38.559771286614,35.23760603795942,94.0
14,Homo sapiens subsp. Denisova,Felis catus,0.163258,0.0,25,6,24576,24576,38.559771286614,41.29783220895761,94.0
15,Homo sapiens subsp. Denisova,Canis lupus familiaris,0.153303,0.0,25,6,24576,24576,38.559771286614,40.74976861025216,94.0
16,Homo sapiens subsp. Denisova,Equus caballus,0.138604,0.0,25,6,24576,24576,38.559771286614,40.82579448687693,94.0
17,Homo sapiens subsp. Denisova,Bos taurus,0.181727,0.0,25,6,24576,24576,38.559771286614,41.42254341828584,94.0
18,Homo sapiens subsp. Denisova,Oryctolagus cuniculus,0.170509,0.0,25,6,24576,24576,38.559771286614,42.28037946782452,87.2
19,Homo sapiens subsp. Denisova,Rattus norvegicus,0.151456,0.0,25,6,24576,24576,38.559771286614,41.14000337454406,87.2
20,Homo sapiens subsp. Denisova,Cavia porcellus,0.131456,0.0,25,6,24576,24576,38.559771286614,38.58365568505605,87.2
21,Tupaia belangeri,Sorex araneus,0.174732,0.0,25,6,24576,24576,39.90564559866216,38.310947587616624,94.0
22,Tupaia belangeri,Erinaceus europaeus,0.191063,0.0,25,6,24576,24576,39.90564559866216,35.23760603795942,94.0
23,Tupaia belangeri,Felis catus,0.174785,0.0,25,6,24576,24576,39.90564559866216,41.29783220895761,94.0
