taxon1,taxon2,distance
Desulforapulum autotrophicum,Desulforapulum autotrophicum,0.0
Desulforapulum autotrophicum,Myxococcus xanthus,1930.6855
Desulforapulum autotrophicum,Oleidesulfovibrio alaskensis,2400.675
Desulforapulum autotrophicum,Desulfomicrobium orale,2400.675
Desulforapulum autotrophicum,Nitrobacter hamburgensis,2686.6000000000004
Desulforapulum autotrophicum,Hyphomicrobium nitrativorans,2686.6000000000004
Desulforapulum autotrophicum,Neorhizobium galegae,2686.6000000000004
Desulforapulum autotrophicum,Bartonella quintana,2686.6000000000004
Desulforapulum autotrophicum,Marinovum algicola,2686.6000000000004
Desulforapulum autotrophicum,Octadecabacter arcticus,2686.6000000000004
Desulforapulum autotrophicum,Ruegeria pomeroyi,2686.6000000000004
Desulforapulum autotrophicum,Sphingomonas melonis,2686.6000000000004
Desulforapulum autotrophicum,Sphingomonas koreensis,2686.6000000000004
Desulforapulum autotrophicum,Novosphingobium resinovorum,2686.6000000000004
Desulforapulum autotrophicum,Rhodospirillum centenum,2686.6000000000004
Desulforapulum autotrophicum,Azospirillum thiophilum,2686.6000000000004
Desulforapulum autotrophicum,Neorickettsia sennetsu,2686.6000000000004
Desulforapulum autotrophicum,Halomonas campaniensis,2686.6000000000004
Desulforapulum autotrophicum,Kushneria marisflavi,2686.6000000000004
Desulforapulum autotrophicum,Thalassolituus oleivorans,2686.6000000000004
Desulforapulum autotrophicum,Microbulbifer agarilyticus,2686.6000000000004
Desulforapulum autotrophicum,Halioglobus pacificus,2686.6000000000004
Desulforapulum autotrophicum,Pseudomonas fulva,2686.6000000000004
Desulforapulum autotrophicum,Pseudomonas citronellolis,2686.6000000000004
Desulforapulum autotrophicum,Acinetobacter baumannii,2686.6000000000004
Desulforapulum autotrophicum,Pluralibacter gergoviae,2686.6000000000004
Desulforapulum autotrophicum,Erwinia amylovora,2686.6000000000004
Desulforapulum autotrophicum,Serratia liquefaciens,2686.6000000000004
Desulforapulum autotrophicum,Photobacterium gaetbulicola,2686.6000000000004
Desulforapulum autotrophicum,Vibrio vulnificus,2686.6000000000004
Desulforapulum autotrophicum,Vibrio alginolyticus,2686.6000000000004
Desulforapulum autotrophicum,Shewanella amazonensis,2686.6000000000004
Desulforapulum autotrophicum,Shewanella denitrificans,2686.6000000000004
Desulforapulum autotrophicum,Tolumonas auensis,2686.6000000000004
Desulforapulum autotrophicum,Pseudoalteromonas translucida,2686.6000000000004
Desulforapulum autotrophicum,Thioalkalivibrio sulfidiphilus,2686.6000000000004
Desulforapulum autotrophicum,Kangiella geojedonensis,2686.6000000000004
Desulforapulum autotrophicum,Thiomicrospira cyclica,2686.6000000000004
Desulforapulum autotrophicum,Xanthomonas sacchari,2686.6000000000004
Desulforapulum autotrophicum,Stenotrophomonas acidaminiphila,2686.6000000000004
Desulforapulum autotrophicum,Dokdonella koreensis,2686.6000000000004
Desulforapulum autotrophicum,Dyella thiooxydans,2686.6000000000004
Desulforapulum autotrophicum,Ferriphaselus amnicola,2686.6000000000004
Desulforapulum autotrophicum,Thauera humireducens,2686.6000000000004
Desulforapulum autotrophicum,Taylorella equigenitalis,2686.6000000000004
Desulforapulum autotrophicum,Castellaniella defragrans,2686.6000000000004
Desulforapulum autotrophicum,Thiomonas intermedia,2686.6000000000004
Desulforapulum autotrophicum,Pandoraea pnomenusa,2686.6000000000004
Desulforapulum autotrophicum,Cupriavidus necator,2686.6000000000004
Desulforapulum autotrophicum,Ralstonia mannitolilytica,2686.6000000000004
Desulforapulum autotrophicum,Rhodoferax antarcticus,2686.6000000000004
Desulforapulum autotrophicum,Rhodoferax ferrireducens,2686.6000000000004
Desulforapulum autotrophicum,Neisseria lactamica,2686.6000000000004
Desulforapulum autotrophicum,Brachyspira murdochii,3000.0
Desulforapulum autotrophicum,Brachyspira hyodysenteriae,3000.0
Desulforapulum autotrophicum,Treponema putidum,3000.0
Desulforapulum autotrophicum,Treponema brennaborense,3000.0
Desulforapulum autotrophicum,Borreliella valaisiana,3000.0
Desulforapulum autotrophicum,Spirochaeta thermophila,3000.0
Desulforapulum autotrophicum,Chlamydia muridarum,3000.0000000000005
Desulforapulum autotrophicum,Chlamydia felis,3000.0000000000005
Desulforapulum autotrophicum,Nonlabens tegetincola,3000.0
Desulforapulum autotrophicum,Lutibacter litoralis,3000.0
Desulforapulum autotrophicum,Bacteroides caccae,3000.0
Desulforapulum autotrophicum,Chitinophaga pinensis,3000.0
Desulforapulum autotrophicum,Nostoc punctiforme,3194.1711400000004
Desulforapulum autotrophicum,Anabaena cylindrica,3194.1711400000004
Desulforapulum autotrophicum,Oscillatoria nigro-viridis,3194.1711400000004
Desulforapulum autotrophicum,Cyanobacterium aponinum,3194.1711400000004
Desulforapulum autotrophicum,Dactylococcopsis salina,3194.1711400000004
Desulforapulum autotrophicum,Leptolyngbya boryana,3194.1711400000004
Desulforapulum autotrophicum,Acaryochloris marina,3194.1711400000004
Desulforapulum autotrophicum,Dehalococcoides mccartyi,3194.1711400000004
Desulforapulum autotrophicum,Chloroflexus aggregans,3194.17114
Desulforapulum autotrophicum,Roseiflexus castenholzii,3194.17114
Desulforapulum autotrophicum,Spiroplasma eriocheiris,3194.1711400000004
Desulforapulum autotrophicum,Spiroplasma chrysopicola,3194.1711400000004
Desulforapulum autotrophicum,Paracholeplasma brassicae,3194.17114
Desulforapulum autotrophicum,Alkalihalobacillus krulwichiae,3194.17114
Desulforapulum autotrophicum,Bacillus thuringiensis,3194.17114
Desulforapulum autotrophicum,Priestia megaterium,3194.17114
Desulforapulum autotrophicum,Anoxybacillus amylolyticus,3194.17114
Desulforapulum autotrophicum,Staphylococcus pseudintermedius,3194.17114
Desulforapulum autotrophicum,Staphylococcus aureus,3194.17114
Desulforapulum autotrophicum,Macrococcus caseolyticus,3194.17114
Desulforapulum autotrophicum,Brevibacillus laterosporus,3194.17114
Desulforapulum autotrophicum,Brevibacillus brevis,3194.17114
Desulforapulum autotrophicum,Aerococcus viridans,3194.17114
Desulforapulum autotrophicum,Pediococcus pentosaceus,3194.17114
Desulforapulum autotrophicum,Weissella ceti,3194.17114
Desulforapulum autotrophicum,Amylolactobacillus amylophilus,3194.17114
Desulforapulum autotrophicum,Streptococcus iniae,3194.1711400000004
Desulforapulum autotrophicum,Clostridium argentinense,3194.17114
Desulforapulum autotrophicum,Clostridium saccharobutylicum,3194.17114
Desulforapulum autotrophicum,Clostridium butyricum,3194.17114
Desulforapulum autotrophicum,Thermacetogenium phaeum,3194.17114
Desulforapulum autotrophicum,Carboxydothermus hydrogenoformans,3194.17114
Desulforapulum autotrophicum,Intestinimonas butyriciproducens,3194.17114
Desulforapulum autotrophicum,Gottschalkia purinilytica,3194.17114
Desulforapulum autotrophicum,Clostridium formicaceticum,3194.17114
Desulforapulum autotrophicum,Cellulosilyticum lentocellum,3194.17114
Desulforapulum autotrophicum,Anaerostipes hadrus,3194.17114
Desulforapulum autotrophicum,Lacrimispora saccharolytica,3194.17114
Desulforapulum autotrophicum,Eubacterium limosum,3194.17114
Desulforapulum autotrophicum,Syntrophothermus lipocalidus,3194.17114
Desulforapulum autotrophicum,Thermus scotoductus,3194.17114
Desulforapulum autotrophicum,Thermus brockianus,3194.17114
Desulforapulum autotrophicum,Thermus aquaticus,3194.17114
Desulforapulum autotrophicum,Corynebacterium ureicelerivorans,3194.17114
Desulforapulum autotrophicum,Corynebacterium singulare,3194.17114
Desulforapulum autotrophicum,Paenarthrobacter aurescens,3194.17114
Desulforapulum autotrophicum,Kocuria palustris,3194.17114
Desulforapulum autotrophicum,Brevibacterium aurantiacum,3194.17114
Desulforapulum autotrophicum,Nocardia farcinica,3194.17114
Desulforapulum autotrophicum,Mycobacterium haemophilum,3194.17114
Desulforapulum autotrophicum,Mycolicibacterium gilvum,3194.17114
Desulforapulum autotrophicum,Thermobispora bispora,3194.17114
Desulforapulum autotrophicum,Nocardiopsis dassonvillei,3194.17114
Desulforapulum autotrophicum,Pimelobacter simplex,3194.17114
Desulforapulum autotrophicum,Streptomyces albus,3194.17114
Desulforapulum autotrophicum,Rhodococcus fascians,3194.17114
Desulforapulum autotrophicum,Actinoplanes missouriensis,3194.17114
Desulforapulum autotrophicum,Salinispora tropica,3194.17114
Desulforapulum autotrophicum,Micromonospora aurantiaca,3194.17114
Desulforapulum autotrophicum,Acidothermus cellulolyticus,3194.17114
Desulforapulum autotrophicum,Eggerthella lenta,3194.17114
Desulforapulum autotrophicum,Bifidobacterium actinocoloniiforme,3194.17114
Desulforapulum autotrophicum,Parascardovia denticolens,3194.17114
Desulforapulum autotrophicum,Arcanobacterium haemolyticum,3194.17114
Desulforapulum autotrophicum,Jonesia denitrificans,3194.17114
Desulforapulum autotrophicum,Nakamurella multipartita,3194.17114
Desulforapulum autotrophicum,Thermocrinis albus,4101.22
Desulforapulum autotrophicum,Hydrogenobacter thermophilus,4101.22
