Acaryochloris marina 
Acidothermus cellulolyticus 
Acinetobacter baumannii 
Actinoplanes missouriensis 
Aerococcus viridans 
Alkalihalobacillus krulwichiae 
Amylolactobacillus amylophilus 
Anabaena cylindrica 
Anaerostipes hadrus 
Anoxybacillus amylolyticus 
Arcanobacterium haemolyticum 
Archaeoglobus sulfaticallidus 
Azospirillum thiophilum 
Bacillus thuringiensis 
Bacteroides caccae 
Bartonella quintana 
Bifidobacterium actinocoloniiforme 
Borreliella valaisiana 
Brachyspira hyodysenteriae 
Brachyspira murdochii 
Brevibacillus brevis 
Brevibacillus laterosporus 
Brevibacterium aurantiacum 
Caldivirga maquilingensis 
Carboxydothermus hydrogenoformans 
Castellaniella defragrans 
Cellulosilyticum lentocellum 
Chitinophaga pinensis 
Chlamydia felis 
Chlamydia muridarum 
Chloroflexus aggregans 
Clostridium argentinense 
Clostridium butyricum 
Clostridium formicaceticum 
Clostridium saccharobutylicum 
Corynebacterium singulare 
Corynebacterium ureicelerivorans 
Cupriavidus necator 
Cyanobacterium aponinum 
Dactylococcopsis salina 
Dehalococcoides mccartyi 
Desulfomicrobium orale 
Desulforapulum autotrophicum 
Desulfurococcus mucosus 
Dokdonella koreensis 
Dyella thiooxydans 
Eggerthella lenta 
Erwinia amylovora 
Eubacterium limosum 
Ferriphaselus amnicola 
Gottschalkia purinilytica 
Halioglobus pacificus 
Halobacterium salinarum 
Halomonas campaniensis 
Haloterrigena turkmenica 
Hydrogenobacter thermophilus 
Hyphomicrobium nitrativorans 
Ignicoccus islandicus 
Intestinimonas butyriciproducens 
Jonesia denitrificans 
Kangiella geojedonensis 
Kocuria palustris 
Kushneria marisflavi 
Lacrimispora saccharolytica 
Leptolyngbya boryana 
Lutibacter litoralis 
Macrococcus caseolyticus 
Marinovum algicola 
Mesotoga prima 
Methanobrevibacter ruminantium 
Methanocaldococcus fervens 
Methanohalophilus halophilus 
Methanohalophilus mahii 
Methanosphaera stadtmanae 
Microbulbifer agarilyticus 
Micromonospora aurantiaca 
Mycobacterium haemophilum 
Mycolicibacterium gilvum 
Myxococcus xanthus 
Nakamurella multipartita 
Natrinema pellirubrum 
Natronomonas pharaonis 
Neisseria lactamica 
Neorhizobium galegae 
Neorickettsia sennetsu 
Nitrobacter hamburgensis 
Nocardia farcinica 
Nocardiopsis dassonvillei 
Nonlabens tegetincola 
Nostoc punctiforme 
Novosphingobium resinovorum 
Octadecabacter arcticus 
Oleidesulfovibrio alaskensis 
Oscillatoria nigro-viridis 
Paenarthrobacter aurescens 
Pandoraea pnomenusa 
Paracholeplasma brassicae 
Parascardovia denticolens 
Pediococcus pentosaceus 
Photobacterium gaetbulicola 
Pimelobacter simplex 
Pluralibacter gergoviae 
Priestia megaterium 
Pseudoalteromonas translucida 
Pseudomonas citronellolis 
Pseudomonas fulva 
Ralstonia mannitolilytica 
Rhodococcus fascians 
Rhodoferax antarcticus 
Rhodoferax ferrireducens 
Rhodospirillum centenum 
Roseiflexus castenholzii 
Ruegeria pomeroyi 
Salinispora tropica 
Serratia liquefaciens 
Shewanella amazonensis 
Shewanella denitrificans 
Sphingomonas koreensis 
Sphingomonas melonis 
Spirochaeta thermophila 
Spiroplasma chrysopicola 
Spiroplasma eriocheiris 
Staphylococcus aureus 
Staphylococcus pseudintermedius 
Stenotrophomonas acidaminiphila 
Streptococcus iniae 
Streptomyces albus 
Syntrophothermus lipocalidus 
Taylorella equigenitalis 
Thalassolituus oleivorans 
Thauera humireducens 
Thermacetogenium phaeum 
Thermobispora bispora 
Thermococcus nautili 
Thermococcus sibiricus 
Thermocrinis albus 
Thermus aquaticus 
Thermus brockianus 
Thermus scotoductus 
Thioalkalivibrio sulfidiphilus 
Thiomicrospira cyclica 
Thiomonas intermedia 
Tolumonas auensis 
Treponema brennaborense 
Treponema putidum 
Vibrio alginolyticus 
Vibrio vulnificus 
Weissella ceti 
Xanthomonas sacchari
