Unnamed: 0,Tree1,Tree2,VLMC dist,threshold,min_count,max_depth,Tree1 VLMC size,Tree2 VLMC size,Tree1 GC ratio,Tree2 GC ratio,distance
0,Galeopterus variegatus,Otolemur garnettii,0.133052,0.0,25,6,24576,24576,34.76677460178301,38.0133684512176,79.3647
1,Galeopterus variegatus,Daubentonia madagascariensis,0.105968,0.0,25,6,24576,24576,34.76677460178301,39.39099517069151,79.3647
2,Galeopterus variegatus,Eulemur macaco,0.115449,0.0,25,6,24576,24576,34.76677460178301,39.84544899667991,79.3647
3,Galeopterus variegatus,Aotus nancymaae,0.142645,0.0,25,6,24576,24576,34.76677460178301,38.13125614956874,79.3647
4,Galeopterus variegatus,Callithrix jacchus,0.149153,0.0,25,6,24576,24576,34.76677460178301,40.22019165548447,79.3647
5,Galeopterus variegatus,Nomascus leucogenys,0.160242,0.0,25,6,24576,24576,34.76677460178301,40.30296197476748,79.3647
6,Galeopterus variegatus,Pan paniscus,0.172699,0.0,25,6,24576,24576,34.76677460178301,39.584494024464064,79.3647
7,Galeopterus variegatus,Homo sapiens subsp. Denisova,0.157866,0.0,25,6,24576,24576,34.76677460178301,38.559771286614,79.3647
8,Galeopterus variegatus,Pongo abelii,0.167783,0.0,25,6,24576,24576,34.76677460178301,40.53305786235602,79.3647
9,Galeopterus variegatus,Papio anubis,0.156436,0.0,25,6,24576,24576,34.76677460178301,40.34269736216134,79.3647
10,Galeopterus variegatus,Mandrillus leucophaeus,0.149239,0.0,25,6,24576,24576,34.76677460178301,35.73871811431402,79.3647
11,Galeopterus variegatus,Macaca nemestrina,0.150257,0.0,25,6,24576,24576,34.76677460178301,38.95023271283116,79.3647
12,Galeopterus variegatus,Nasalis larvatus,0.133772,0.0,25,6,24576,24576,34.76677460178301,31.457062330820754,79.3647
13,Galeopterus variegatus,Colobus angolensis,0.154463,0.0,25,6,24576,24576,34.76677460178301,36.34892777052296,79.3647
14,Galeopterus variegatus,Carlito syrichta,0.162979,0.0,25,6,24576,24576,34.76677460178301,39.53765480833894,79.3647
15,Galeopterus variegatus,Chlorocebus sabaeus,0.154315,0.0,25,6,24576,24576,34.76677460178301,40.45298252515873,79.3647
16,Otolemur garnettii,Daubentonia madagascariensis,0.0813611,0.0,25,6,24576,24576,38.0133684512176,39.39099517069151,59.3
17,Otolemur garnettii,Eulemur macaco,0.0843381,0.0,25,6,24576,24576,38.0133684512176,39.84544899667991,59.3
18,Otolemur garnettii,Aotus nancymaae,0.109094,0.0,25,6,24576,24576,38.0133684512176,38.13125614956874,73.75492
19,Otolemur garnettii,Callithrix jacchus,0.117588,0.0,25,6,24576,24576,38.0133684512176,40.22019165548447,73.75492
20,Otolemur garnettii,Nomascus leucogenys,0.127422,0.0,25,6,24576,24576,38.0133684512176,40.30296197476748,73.75492
21,Otolemur garnettii,Pan paniscus,0.143819,0.0,25,6,24576,24576,38.0133684512176,39.584494024464064,73.75492
22,Otolemur garnettii,Homo sapiens subsp. Denisova,0.125118,0.0,25,6,24576,24576,38.0133684512176,38.559771286614,73.75492
23,Otolemur garnettii,Pongo abelii,0.142005,0.0,25,6,24576,24576,38.0133684512176,40.53305786235602,73.75492
24,Otolemur garnettii,Papio anubis,0.122153,0.0,25,6,24576,24576,38.0133684512176,40.34269736216134,73.75492
25,Otolemur garnettii,Mandrillus leucophaeus,0.113932,0.0,25,6,24576,24576,38.0133684512176,35.73871811431402,73.75492
26,Otolemur garnettii,Macaca nemestrina,0.115852,0.0,25,6,24576,24576,38.0133684512176,38.95023271283116,73.75492
27,Otolemur garnettii,Nasalis larvatus,0.099215,0.0,25,6,24576,24576,38.0133684512176,31.457062330820754,73.75492
28,Otolemur garnettii,Colobus angolensis,0.119286,0.0,25,6,24576,24576,38.0133684512176,36.34892777052296,73.75492
29,Otolemur garnettii,Carlito syrichta,0.1378,0.0,25,6,24576,24576,38.0133684512176,39.53765480833894,73.75492
30,Otolemur garnettii,Chlorocebus sabaeus,0.122654,0.0,25,6,24576,24576,38.0133684512176,40.45298252515873,73.75492
31,Daubentonia madagascariensis,Eulemur macaco,0.044279,0.0,25,6,24576,24576,39.39099517069151,39.84544899667991,52.4776
32,Daubentonia madagascariensis,Aotus nancymaae,0.0923286,0.0,25,6,24576,24576,39.39099517069151,38.13125614956874,73.75492
33,Daubentonia madagascariensis,Callithrix jacchus,0.102773,0.0,25,6,24576,24576,39.39099517069151,40.22019165548447,73.75492
34,Daubentonia madagascariensis,Nomascus leucogenys,0.116399,0.0,25,6,24576,24576,39.39099517069151,40.30296197476748,73.75492
35,Daubentonia madagascariensis,Pan paniscus,0.133026,0.0,25,6,24576,24576,39.39099517069151,39.584494024464064,73.75492
36,Daubentonia madagascariensis,Homo sapiens subsp. Denisova,0.113084,0.0,25,6,24576,24576,39.39099517069151,38.559771286614,73.75492
37,Daubentonia madagascariensis,Pongo abelii,0.127769,0.0,25,6,24576,24576,39.39099517069151,40.53305786235602,73.75492
38,Daubentonia madagascariensis,Papio anubis,0.111287,0.0,25,6,24576,24576,39.39099517069151,40.34269736216134,73.75492
39,Daubentonia madagascariensis,Mandrillus leucophaeus,0.101371,0.0,25,6,24576,24576,39.39099517069151,35.73871811431402,73.75492
40,Daubentonia madagascariensis,Macaca nemestrina,0.103293,0.0,25,6,24576,24576,39.39099517069151,38.95023271283116,73.75492
41,Daubentonia madagascariensis,Nasalis larvatus,0.0791732,0.0,25,6,24576,24576,39.39099517069151,31.457062330820754,73.75492
42,Daubentonia madagascariensis,Colobus angolensis,0.108205,0.0,25,6,24576,24576,39.39099517069151,36.34892777052296,73.75492
43,Daubentonia madagascariensis,Carlito syrichta,0.125355,0.0,25,6,24576,24576,39.39099517069151,39.53765480833894,73.75492
44,Daubentonia madagascariensis,Chlorocebus sabaeus,0.111632,0.0,25,6,24576,24576,39.39099517069151,40.45298252515873,73.75492
45,Eulemur macaco,Aotus nancymaae,0.0853974,0.0,25,6,24576,24576,39.84544899667991,38.13125614956874,73.75492
46,Eulemur macaco,Callithrix jacchus,0.0976949,0.0,25,6,24576,24576,39.84544899667991,40.22019165548447,73.75492
47,Eulemur macaco,Nomascus leucogenys,0.107089,0.0,25,6,24576,24576,39.84544899667991,40.30296197476748,73.75492
48,Eulemur macaco,Pan paniscus,0.126368,0.0,25,6,24576,24576,39.84544899667991,39.584494024464064,73.75492
49,Eulemur macaco,Homo sapiens subsp. Denisova,0.10411,0.0,25,6,24576,24576,39.84544899667991,38.559771286614,73.75492
