Selected taxon summary:
Bacteria: 41
Archaea: 9

Selected taxon list:
Borreliella afzelii
Arthrobacter alpinus
Vibrio anguillarum
Alkaliphilus oremlandii
Pelosinus fermentans
Sulfurospirillum deleyianum
Azotobacter chroococcum
Tateyamaria omphalii
Pseudothermotoga lettingae
Thauera chlorobenzoica
Sebaldella termitidis
Pseudoalteromonas piscicida
Desulfomonile tiedjei
Burkholderia ubonensis
Mycoplasma wenyonii
Ehrlichia muris
Mycoplasma parvum
Streptomyces alboflavus
Spiroplasma cantharicola
Ramlibacter tataouinensis
Anaerolinea thermophila
Mycoplasmopsis agalactiae
Thermoanaerobacterium thermosaccharolyticum
Borreliella garinii
Fructilactobacillus sanfranciscensis
Myroides profundi
Ensifer adhaerens
Saccharophagus degradans
Bordetella hinzii
Selenomonas sputigena
Alteromonas macleodii
Desulfocurvibacter africanus
Aggregatibacter actinomycetemcomitans
Sporosarcina ureae
Amycolatopsis japonica
Renibacterium salmoninarum
Heliomicrobium modesticaldum
Bordetella avium
Mycolicibacterium rhodesiae
Melioribacter roseus
Corynebacterium resistens
Halorhabdus utahensis
Methanothrix harundinacea
Methanobacterium lacus
Thermococcus barossii
Sulfurisphaera tokodaii
Methanothermobacter thermautotrophicus
Thermococcus pacificus
Halomicrobium mukohataei
Methanobacterium formicicum
