Selected taxon summary:
Animalia: 45
Plantae: 43
Fungi: 49

Selected taxon list:
Camelus dromedarius
Limenitis camilla
Fundulus heteroclitus
Sceloporus tristichus
Nematolebias whitei
Mayetiola destructor
Motacilla alba
Camarhynchus parvulus
Drosophila teissieri
Xenopus laevis
Danio aesculapii
Agriopis marginaria
Gambusia affinis
Thoracobombus
Antechinus flavipes
Metopolophium dirhodum
Bombyx mori
Taeniopygia guttata
Nezara viridula
Ovis aries
Erithacus rubecula
Paracanthobrama guichenoti
Meloidogyne hapla
Callinectes sapidus
Hipparchia semele
Abramis brama
Xenentodon cancila
Drosophila pseudoobscura
Thyatira batis
Leptidea sinapis
Hermetia illucens
Pholidichthys leucotaenia
Teleopsis dalmanni
Hydra vulgaris
Gouania willdenowi
Phocoena sinus
Macaria
Cervus hanglu
Takifugu rubripes
Pipistrellus pipistrellus
Theropithecus gelada
Cairina moschata
Plodia interpunctella
Oncorhynchus mykiss
Poecilia reticulata
Fraxinus pennsylvanica
Phoenix dactylifera
Typha latifolia
Eucalyptus melliodora
Buddleja alternifolia
Capsicum chinense
Cannabis sativa
Coffea canephora
Gossypium gossypioides
Ceratopteris richardii
Boehmeria
Gossypium anomalum
Prunus davidiana
Aegilops tauschii
Lagenaria siceraria
Solanum pennellii
Urochloa ruziziensis
Paulownia fortunei
Aegilops longissima
Nephelium
Gossypium hirsutum
Rhododendron ovatum
Cucurbita argyrosperma
Leersia perrieri
Acer negundo
Brachypodium distachyon
Zingiber officinale
Nyssa sinensis
Lycium barbarum
Aegilops searsii
Fragaria iinumae
Erigeron canadensis
Corymbia calophylla
Aegilops sharonensis
Ziziphus jujuba
Salix suchowensis
Triticum dicoccoides
Luffa acutangula
Vaccinium macrocarpon
Gynochthodes officinalis
Theobroma cacao
Vitis rotundifolia
Sesamum indicum
Fulvia fulva
Yarrowia lipolytica
Candida albicans
Morchella rufobrunnea
Pichia kudriavzevii
Metschnikowia reukaufii
Talaromyces pinophilus
Saccharomycopsis malanga
Flammulina velutipes
Melampsora medusae
Lachancea mirantina
Fusarium poae
Kazachstania africana
Eremothecium cymbalariae
Pleurotus cornucopiae
Pyricularia oryzae
Exobasidium
Neofusicoccum parvum
Trametes hirsuta
Trichothecium roseum
Calonectria leucothoes
Lachancea dasiensis
Torulaspora delbrueckii
Fusarium pseudograminearum
Kluyveromyces lactis
Podospora
Tetrapisispora phaffii
Ustilago maydis
Lachancea thermotolerans
Pneumocystis carinii
Saccharomyces paradoxus
Pyrrhoderma noxium
Pyricularia pennisetigena
Candida dubliniensis
Aspergillus luchuensis
Kluyveromyces marxianus
Hypsizygus marmoreus
Pochonia chlamydosporia
Marasmius oreades
Clitopilus hobsonii
Hericium erinaceus
Zymoseptoria tritici
Ascochyta rabiei
Phycomyces blakesleeanus
Colletotrichum higginsianum
Fusarium circinatum
Lachancea nothofagi
Blumeria graminis
Thermothelomyces thermophilus
