Unnamed: 0,Tree1,Tree2,VLMC dist,threshold,min_count,max_depth,Tree1 VLMC size,Tree2 VLMC size,Tree1 GC ratio,Tree2 GC ratio,evo dist
0,Micrococcus luteus,Neomicrococcus aestuarii,0.215653,0.0,25,6,21298,24569,72.03055614007434,58.41469030794472,71.22097
1,Micrococcus luteus,Corynebacterium phocae,0.256115,0.0,25,6,21298,24576,72.03055614007434,58.08088847572334,233.80831
2,Micrococcus luteus,Corynebacterium sphenisci,0.200801,0.0,25,6,21298,21717,72.03055614007434,73.80521468131128,233.80831
3,Micrococcus luteus,Devriesea agamarum,0.218777,0.0,25,6,21298,24576,72.03055614007434,59.392441399567744,71.22097
4,Micrococcus luteus,Glutamicibacter arilaitensis,0.217746,0.0,25,6,21298,24574,72.03055614007434,58.85768087975704,71.22097
5,Micrococcus luteus,Pseudarthrobacter phenanthrenivorans,0.181869,0.0,25,6,21298,24568,72.03055614007434,64.46084759424122,71.22097
6,Micrococcus luteus,Pseudarthrobacter chlorophenolicus,0.177592,0.0,25,6,21298,24561,72.03055614007434,65.14162939333866,71.22097
7,Micrococcus luteus,Arthrobacter alpinus,0.212694,0.0,25,6,21298,24574,72.03055614007434,59.87136951613043,71.22097
8,Micrococcus luteus,Paenarthrobacter aurescens,0.205165,0.0,25,6,21298,24569,72.03055614007434,61.192046802238046,71.22097
9,Micrococcus luteus,Pseudarthrobacter sulfonivorans,0.177202,0.0,25,6,21298,24572,72.03055614007434,64.23436807756748,71.22097
10,Micrococcus luteus,Renibacterium salmoninarum,0.265992,0.0,25,6,21298,24576,72.03055614007434,55.57564399966069,71.22097
11,Micrococcus luteus,Kocuria flava,0.132307,0.0,25,6,21298,22645,72.03055614007434,73.00881496818295,109.13298
12,Micrococcus luteus,Kocuria rhizophila,0.132977,0.0,25,6,21298,22345,72.03055614007434,69.75461888838024,109.13298
13,Micrococcus luteus,Kocuria palustris,0.138387,0.0,25,6,21298,21879,72.03055614007434,69.62600896892017,109.13298
14,Micrococcus luteus,Rothia dentocariosa,0.265582,0.0,25,6,21298,24576,72.03055614007434,53.02386603053345,109.13298
15,Micrococcus luteus,Rothia mucilaginosa,0.233691,0.0,25,6,21298,24576,72.03055614007434,58.75585492645084,109.13298
16,Micrococcus luteus,Sinomonas atrocyanea,0.122321,0.0,25,6,21298,23451,72.03055614007434,70.37392442540899,130.70236
17,Micrococcus luteus,Brevibacterium aurantiacum,0.177591,0.0,25,6,21298,24556,72.03055614007434,61.93414706973461,193.13209
18,Micrococcus luteus,Brevibacterium linens,0.173423,0.0,25,6,21298,24499,72.03055614007434,63.97560944033764,193.13209
19,Micrococcus luteus,Nocardia farcinica,0.168932,0.0,25,6,21298,24004,72.03055614007434,69.81762802005082,253.54152
20,Micrococcus luteus,Hoyosella subflava,0.197995,0.0,25,6,21298,24568,72.03055614007434,61.47115126681974,253.54152
21,Micrococcus luteus,Mycobacterium haemophilum,0.211215,0.0,25,6,21298,24572,72.03055614007434,63.15733268668932,253.54152
22,Micrococcus luteus,Mycobacterium marinum,0.202715,0.0,25,6,21298,24567,72.03055614007434,64.92685989006783,253.54152
23,Micrococcus luteus,Mycolicibacterium rhodesiae,0.17966,0.0,25,6,21298,24489,72.03055614007434,65.70129941980777,253.54152
24,Micrococcus luteus,Mycobacterium goodii,0.17304,0.0,25,6,21298,24393,72.03055614007434,66.2235446828585,253.54152
25,Micrococcus luteus,Mycolicibacterium chubuense,0.162291,0.0,25,6,21298,24243,72.03055614007434,68.28141285618051,253.54152
