taxon1,taxon2,distance
Sandaracinus amylolyticus,Sandaracinus amylolyticus,0.0
Sandaracinus amylolyticus,Methylorubrum populi,2686.6000000000004
Sandaracinus amylolyticus,Marinovum algicola,2686.6000000000004
Sandaracinus amylolyticus,Ketogulonicigenium robustum,2686.6000000000004
Sandaracinus amylolyticus,Sphingobium herbicidovorans,2686.6000000000004
Sandaracinus amylolyticus,Acetobacter persici,2686.6000000000004
Sandaracinus amylolyticus,Oleispira antarctica,2686.6000000000004
Sandaracinus amylolyticus,Azotobacter vinelandii,2686.6000000000004
Sandaracinus amylolyticus,Pluralibacter gergoviae,2686.6000000000004
Sandaracinus amylolyticus,Photorhabdus thracensis,2686.6000000000004
Sandaracinus amylolyticus,Pragia fontium,2686.6000000000004
Sandaracinus amylolyticus,Pectobacterium carotovorum,2686.6000000000004
Sandaracinus amylolyticus,Serratia liquefaciens,2686.6000000000004
Sandaracinus amylolyticus,Vibrio fluvialis,2686.6000000000004
Sandaracinus amylolyticus,Shewanella japonica,2686.6000000000004
Sandaracinus amylolyticus,Methylotenera mobilis,2686.6000000000004
Sandaracinus amylolyticus,Laribacter hongkongensis,2686.6000000000004
Sandaracinus amylolyticus,Helicobacter mustelae,2849.0299999999997
Sandaracinus amylolyticus,Campylobacter ureolyticus,2849.0299999999997
Sandaracinus amylolyticus,Parachlamydia acanthamoebae,3000.0
Sandaracinus amylolyticus,Chlamydia pecorum,3000.0
Sandaracinus amylolyticus,Tenacibaculum dicentrarchi,2999.9999999999995
Sandaracinus amylolyticus,Ornithobacterium rhinotracheale,2999.9999999999995
Sandaracinus amylolyticus,Niabella soli,2999.9999999999995
Sandaracinus amylolyticus,Dyadobacter fermentans,2999.9999999999995
Sandaracinus amylolyticus,Cyclobacterium marinum,2999.9999999999995
Sandaracinus amylolyticus,Prochlorococcus,3194.17114
Sandaracinus amylolyticus,Spiroplasma taiwanense,3194.17114
Sandaracinus amylolyticus,Mycoplasma crocodyli,3194.17114
Sandaracinus amylolyticus,Mycoplasmopsis canis,3194.17114
Sandaracinus amylolyticus,Salisediminibacterium selenitireducens,3194.17114
Sandaracinus amylolyticus,Staphylococcus succinus,3194.17114
Sandaracinus amylolyticus,Staphylococcus xylosus,3194.17114
Sandaracinus amylolyticus,Lactobacillus gallinarum,3194.17114
Sandaracinus amylolyticus,Lactobacillus amylovorus,3194.17114
Sandaracinus amylolyticus,Thermoanaerobacter italicus,3194.17114
Sandaracinus amylolyticus,Desulfitobacterium hafniense DCB-2,3194.17114
Sandaracinus amylolyticus,Oscillibacter valericigenes,3194.17114
Sandaracinus amylolyticus,Selenomonas sputigena,3194.17114
Sandaracinus amylolyticus,Halothermothrix orenii,3194.17114
Sandaracinus amylolyticus,Halobacteroides halobius,3194.17114
Sandaracinus amylolyticus,Mycobacterium colombiense,3194.17114
Sandaracinus amylolyticus,Thermobispora bispora,3194.17114
Sandaracinus amylolyticus,Nocardiopsis alba,3194.17114
Sandaracinus amylolyticus,Tessaracoccus flavescens,3194.17114
Sandaracinus amylolyticus,Nocardia brasiliensis,3194.17114
Sandaracinus amylolyticus,Lentzea albidocapillata,3194.17114
Sandaracinus amylolyticus,Saccharothrix espanaensis,3194.17114
Sandaracinus amylolyticus,Cryobacterium arcticum,3194.17114
Sandaracinus amylolyticus,Actinomyces oris,3194.17114
Sandaracinus amylolyticus,Methanobacterium congolense,4250.0
Sandaracinus amylolyticus,Methanobacterium lacus,4250.0
Sandaracinus amylolyticus,Methanosphaera stadtmanae,4250.0
Sandaracinus amylolyticus,Methanobacterium formicicum,4250.0
Sandaracinus amylolyticus,Methanobrevibacter millerae,4250.0
Sandaracinus amylolyticus,Methanococcus aeolicus,4250.0
Sandaracinus amylolyticus,Methanococcus voltae,4250.0
Sandaracinus amylolyticus,Natronococcus occultus,4250.0
Sandaracinus amylolyticus,Natronobacterium gregoryi,4250.0
Sandaracinus amylolyticus,Natrinema pellirubrum,4250.0
Sandaracinus amylolyticus,Haloterrigena daqingensis,4250.0
Sandaracinus amylolyticus,Natrialba magadii,4250.0
Sandaracinus amylolyticus,Haloferax mediterranei,4250.0
Sandaracinus amylolyticus,Halorubrum lacusprofundi,4250.0
Sandaracinus amylolyticus,Halorhabdus utahensis,4250.0
Sandaracinus amylolyticus,Methanococcoides burtonii,4250.0
Sandaracinus amylolyticus,Methanomethylovorans hollandica,4250.0
Sandaracinus amylolyticus,Methanosarcina mazei,4250.0
Sandaracinus amylolyticus,Methanosarcina horonobensis,4250.0
Sandaracinus amylolyticus,Methanosarcina siciliae,4250.0
Sandaracinus amylolyticus,Methanosarcina lacustris,4250.0
Sandaracinus amylolyticus,Methanothrix soehngenii,4250.0
Sandaracinus amylolyticus,Methanocella conradii,4250.0
Sandaracinus amylolyticus,Methanolacinia petrolearia,4250.0
Sandaracinus amylolyticus,Methanoplanus limicola,4250.0
Sandaracinus amylolyticus,Methanospirillum hungatei,4250.0
Sandaracinus amylolyticus,Methanoregula formicica,4250.0
Sandaracinus amylolyticus,Methanolinea tarda,4250.0
Sandaracinus amylolyticus,Methanosphaerula palustris,4250.0
Sandaracinus amylolyticus,Methanoculleus bourgensis,4250.0
Sandaracinus amylolyticus,Archaeoglobus profundus,4250.0
Sandaracinus amylolyticus,Geoglobus ahangari,4250.0
Sandaracinus amylolyticus,Geoglobus acetivorans,4250.0
Sandaracinus amylolyticus,Archaeoglobus veneficus,4250.0
Sandaracinus amylolyticus,Ferroplasma,4250.0
Sandaracinus amylolyticus,Aciduliprofundum boonei,4250.0
Sandaracinus amylolyticus,Thermococcus kodakarensis,4250.0
Sandaracinus amylolyticus,Thermococcus siculi,4250.0
Sandaracinus amylolyticus,Thermococcus pacificus,4250.0
Sandaracinus amylolyticus,Pyrococcus abyssi,4250.0
Sandaracinus amylolyticus,Pyrococcus horikoshii,4250.0
Sandaracinus amylolyticus,Pyrococcus furiosus,4250.0
Sandaracinus amylolyticus,Pyrococcus yayanosii,4250.0
Sandaracinus amylolyticus,Desulfurococcus amylolyticus,4250.0
Sandaracinus amylolyticus,Ignicoccus islandicus,4250.0
Sandaracinus amylolyticus,Sulfolobus acidocaldarius,4250.0
Sandaracinus amylolyticus,Sulfurisphaera tokodaii,4250.0
Sandaracinus amylolyticus,Saccharolobus solfataricus,4250.0
Sandaracinus amylolyticus,Metallosphaera cuprina,4250.0
Sandaracinus amylolyticus,Hyperthermus butylicus,4250.0
Methylorubrum populi,Sandaracinus amylolyticus,2686.6000000000004
Methylorubrum populi,Methylorubrum populi,0.0
Methylorubrum populi,Marinovum algicola,1427.156
Methylorubrum populi,Ketogulonicigenium robustum,1427.156
Methylorubrum populi,Sphingobium herbicidovorans,1468.1351399999999
Methylorubrum populi,Acetobacter persici,1710.49761
Methylorubrum populi,Oleispira antarctica,2328.26642
Methylorubrum populi,Azotobacter vinelandii,2328.26642
Methylorubrum populi,Pluralibacter gergoviae,2328.26642
Methylorubrum populi,Photorhabdus thracensis,2328.26642
Methylorubrum populi,Pragia fontium,2328.26642
Methylorubrum populi,Pectobacterium carotovorum,2328.26642
Methylorubrum populi,Serratia liquefaciens,2328.26642
Methylorubrum populi,Vibrio fluvialis,2328.26642
Methylorubrum populi,Shewanella japonica,2328.26642
Methylorubrum populi,Methylotenera mobilis,2328.26642
Methylorubrum populi,Laribacter hongkongensis,2328.26642
Methylorubrum populi,Helicobacter mustelae,2849.0299999999997
Methylorubrum populi,Campylobacter ureolyticus,2849.0299999999997
Methylorubrum populi,Parachlamydia acanthamoebae,3000.0
Methylorubrum populi,Chlamydia pecorum,3000.0
Methylorubrum populi,Tenacibaculum dicentrarchi,2999.9999999999995
Methylorubrum populi,Ornithobacterium rhinotracheale,2999.9999999999995
Methylorubrum populi,Niabella soli,2999.9999999999995
Methylorubrum populi,Dyadobacter fermentans,2999.9999999999995
Methylorubrum populi,Cyclobacterium marinum,2999.9999999999995
Methylorubrum populi,Prochlorococcus,3194.17114
Methylorubrum populi,Spiroplasma taiwanense,3194.17114
Methylorubrum populi,Mycoplasma crocodyli,3194.17114
Methylorubrum populi,Mycoplasmopsis canis,3194.17114
Methylorubrum populi,Salisediminibacterium selenitireducens,3194.17114
Methylorubrum populi,Staphylococcus succinus,3194.17114
Methylorubrum populi,Staphylococcus xylosus,3194.17114
Methylorubrum populi,Lactobacillus gallinarum,3194.17114
Methylorubrum populi,Lactobacillus amylovorus,3194.17114
Methylorubrum populi,Thermoanaerobacter italicus,3194.17114
Methylorubrum populi,Desulfitobacterium hafniense DCB-2,3194.17114
Methylorubrum populi,Oscillibacter valericigenes,3194.17114
Methylorubrum populi,Selenomonas sputigena,3194.17114
Methylorubrum populi,Halothermothrix orenii,3194.17114
Methylorubrum populi,Halobacteroides halobius,3194.17114
Methylorubrum populi,Mycobacterium colombiense,3194.17114
Methylorubrum populi,Thermobispora bispora,3194.17114
Methylorubrum populi,Nocardiopsis alba,3194.17114
Methylorubrum populi,Tessaracoccus flavescens,3194.17114
Methylorubrum populi,Nocardia brasiliensis,3194.17114
Methylorubrum populi,Lentzea albidocapillata,3194.17114
Methylorubrum populi,Saccharothrix espanaensis,3194.17114
Methylorubrum populi,Cryobacterium arcticum,3194.17114
Methylorubrum populi,Actinomyces oris,3194.17114
Methylorubrum populi,Methanobacterium congolense,4250.0
Methylorubrum populi,Methanobacterium lacus,4250.0
Methylorubrum populi,Methanosphaera stadtmanae,4250.0
Methylorubrum populi,Methanobacterium formicicum,4250.0
Methylorubrum populi,Methanobrevibacter millerae,4250.0
Methylorubrum populi,Methanococcus aeolicus,4250.0
Methylorubrum populi,Methanococcus voltae,4250.0
Methylorubrum populi,Natronococcus occultus,4250.0
Methylorubrum populi,Natronobacterium gregoryi,4250.0
Methylorubrum populi,Natrinema pellirubrum,4250.0
Methylorubrum populi,Haloterrigena daqingensis,4250.0
Methylorubrum populi,Natrialba magadii,4250.0
Methylorubrum populi,Haloferax mediterranei,4250.0
Methylorubrum populi,Halorubrum lacusprofundi,4250.0
Methylorubrum populi,Halorhabdus utahensis,4250.0
Methylorubrum populi,Methanococcoides burtonii,4250.0
Methylorubrum populi,Methanomethylovorans hollandica,4250.0
Methylorubrum populi,Methanosarcina mazei,4250.0
Methylorubrum populi,Methanosarcina horonobensis,4250.0
Methylorubrum populi,Methanosarcina siciliae,4250.0
Methylorubrum populi,Methanosarcina lacustris,4250.0
Methylorubrum populi,Methanothrix soehngenii,4250.0
Methylorubrum populi,Methanocella conradii,4250.0
Methylorubrum populi,Methanolacinia petrolearia,4250.0
Methylorubrum populi,Methanoplanus limicola,4250.0
Methylorubrum populi,Methanospirillum hungatei,4250.0
Methylorubrum populi,Methanoregula formicica,4250.0
Methylorubrum populi,Methanolinea tarda,4250.0
Methylorubrum populi,Methanosphaerula palustris,4250.0
Methylorubrum populi,Methanoculleus bourgensis,4250.0
Methylorubrum populi,Archaeoglobus profundus,4250.0
Methylorubrum populi,Geoglobus ahangari,4250.0
Methylorubrum populi,Geoglobus acetivorans,4250.0
Methylorubrum populi,Archaeoglobus veneficus,4250.0
Methylorubrum populi,Ferroplasma,4250.0
Methylorubrum populi,Aciduliprofundum boonei,4250.0
Methylorubrum populi,Thermococcus kodakarensis,4250.0
Methylorubrum populi,Thermococcus siculi,4250.0
Methylorubrum populi,Thermococcus pacificus,4250.0
Methylorubrum populi,Pyrococcus abyssi,4250.0
Methylorubrum populi,Pyrococcus horikoshii,4250.0
Methylorubrum populi,Pyrococcus furiosus,4250.0
Methylorubrum populi,Pyrococcus yayanosii,4250.0
Methylorubrum populi,Desulfurococcus amylolyticus,4250.0
Methylorubrum populi,Ignicoccus islandicus,4250.0
Methylorubrum populi,Sulfolobus acidocaldarius,4250.0
Methylorubrum populi,Sulfurisphaera tokodaii,4250.0
Methylorubrum populi,Saccharolobus solfataricus,4250.0
Methylorubrum populi,Metallosphaera cuprina,4250.0
Methylorubrum populi,Hyperthermus butylicus,4250.0
Marinovum algicola,Sandaracinus amylolyticus,2686.6000000000004
Marinovum algicola,Methylorubrum populi,1427.156
Marinovum algicola,Marinovum algicola,0.0
Marinovum algicola,Ketogulonicigenium robustum,25.52924
Marinovum algicola,Sphingobium herbicidovorans,1468.13514
Marinovum algicola,Acetobacter persici,1710.49761
Marinovum algicola,Oleispira antarctica,2328.26642
Marinovum algicola,Azotobacter vinelandii,2328.26642
Marinovum algicola,Pluralibacter gergoviae,2328.26642
Marinovum algicola,Photorhabdus thracensis,2328.26642
Marinovum algicola,Pragia fontium,2328.26642
Marinovum algicola,Pectobacterium carotovorum,2328.26642
Marinovum algicola,Serratia liquefaciens,2328.26642
Marinovum algicola,Vibrio fluvialis,2328.26642
Marinovum algicola,Shewanella japonica,2328.26642
Marinovum algicola,Methylotenera mobilis,2328.26642
Marinovum algicola,Laribacter hongkongensis,2328.26642
Marinovum algicola,Helicobacter mustelae,2849.0299999999997
Marinovum algicola,Campylobacter ureolyticus,2849.0299999999997
Marinovum algicola,Parachlamydia acanthamoebae,3000.0
Marinovum algicola,Chlamydia pecorum,3000.0
Marinovum algicola,Tenacibaculum dicentrarchi,2999.9999999999995
Marinovum algicola,Ornithobacterium rhinotracheale,2999.9999999999995
Marinovum algicola,Niabella soli,2999.9999999999995
Marinovum algicola,Dyadobacter fermentans,2999.9999999999995
