taxon1,taxon2,distance
Clitopilus hobsonii,Clitopilus hobsonii,0.0
Clitopilus hobsonii,Marasmius oreades,132.65818
Clitopilus hobsonii,Flammulina velutipes,132.65818
Clitopilus hobsonii,Pleurotus cornucopiae,132.65818
Clitopilus hobsonii,Hypsizygus marmoreus,132.65818
Clitopilus hobsonii,Hericium erinaceus,156.71312
Clitopilus hobsonii,Trametes hirsuta,157.15093
Clitopilus hobsonii,Pyrrhoderma noxium,253.94238
Clitopilus hobsonii,Ceratobasidium cornigerum,304.85712
Clitopilus hobsonii,Exobasidium,442.44
Clitopilus hobsonii,Ustilago maydis,442.44
Clitopilus hobsonii,Melampsora medusae,488.95349
Clitopilus hobsonii,Aspergillus luchuensis,642.0299999999999
Clitopilus hobsonii,Talaromyces pinophilus,642.0299999999999
Clitopilus hobsonii,Blumeria graminis,642.0299999999999
Clitopilus hobsonii,Trichothecium roseum,642.0299999999999
Clitopilus hobsonii,Calonectria leucothoes,642.03
Clitopilus hobsonii,Fusarium pseudograminearum,642.03
Clitopilus hobsonii,Fusarium poae,642.03
Clitopilus hobsonii,Fusarium circinatum,642.03
Clitopilus hobsonii,Pochonia chlamydosporia,642.03
Clitopilus hobsonii,Podospora,642.0299999999999
Clitopilus hobsonii,Thermothelomyces thermophilus,642.0299999999999
Clitopilus hobsonii,Pyricularia oryzae,642.0299999999999
Clitopilus hobsonii,Pyricularia pennisetigena,642.0299999999999
Clitopilus hobsonii,Colletotrichum higginsianum,642.0299999999999
Clitopilus hobsonii,Neofusicoccum parvum,642.0299999999999
Clitopilus hobsonii,Ascochyta rabiei,642.0299999999999
Clitopilus hobsonii,Zymoseptoria tritici,642.0299999999999
Clitopilus hobsonii,Fulvia fulva,642.0299999999999
Clitopilus hobsonii,Morchella rufobrunnea,642.03
Clitopilus hobsonii,Saccharomycopsis malanga,642.0299999999999
Clitopilus hobsonii,Pichia kudriavzevii,642.03
Clitopilus hobsonii,Candida albicans,642.03
Clitopilus hobsonii,Candida dubliniensis,642.03
Clitopilus hobsonii,Metschnikowia reukaufii,642.03
Clitopilus hobsonii,Eremothecium cymbalariae,642.03
Clitopilus hobsonii,Kluyveromyces lactis,642.03
Clitopilus hobsonii,Kluyveromyces marxianus,642.03
Clitopilus hobsonii,Lachancea thermotolerans,642.03
Clitopilus hobsonii,Lachancea dasiensis,642.03
Clitopilus hobsonii,Lachancea nothofagi,642.03
Clitopilus hobsonii,Lachancea mirantina,642.03
Clitopilus hobsonii,Saccharomyces paradoxus,642.03
Clitopilus hobsonii,Kazachstania africana,642.03
Clitopilus hobsonii,Tetrapisispora phaffii,642.03
Clitopilus hobsonii,Torulaspora delbrueckii,642.03
Clitopilus hobsonii,Yarrowia lipolytica,642.0299999999999
Clitopilus hobsonii,Pneumocystis carinii,642.0299999999999
Clitopilus hobsonii,Phycomyces blakesleeanus,675.19656
Clitopilus hobsonii,Oncorhynchus mykiss,1274.56678
Clitopilus hobsonii,Takifugu rubripes,1274.56678
Clitopilus hobsonii,Pholidichthys leucotaenia,1274.56678
Clitopilus hobsonii,Xenentodon cancila,1274.56678
Clitopilus hobsonii,Fundulus heteroclitus,1274.56678
Clitopilus hobsonii,Gambusia affinis,1274.56678
Clitopilus hobsonii,Poecilia reticulata,1274.56678
Clitopilus hobsonii,Nematolebias whitei,1274.56678
Clitopilus hobsonii,Gouania willdenowi,1274.56678
Clitopilus hobsonii,Danio aesculapii,1274.56678
Clitopilus hobsonii,Abramis brama,1274.56678
Clitopilus hobsonii,Paracanthobrama guichenoti,1274.56678
Clitopilus hobsonii,Xenopus laevis,1274.56678
Clitopilus hobsonii,Antechinus flavipes,1274.56678
Clitopilus hobsonii,Camelus dromedarius,1274.56678
Clitopilus hobsonii,Phocoena sinus,1274.56678
Clitopilus hobsonii,Ovis aries,1274.56678
Clitopilus hobsonii,Cervus hanglu,1274.56678
Clitopilus hobsonii,Pipistrellus pipistrellus,1274.56678
Clitopilus hobsonii,Theropithecus gelada,1274.56678
Clitopilus hobsonii,Colobus guereza occidentalis,1274.56678
Clitopilus hobsonii,Sceloporus tristichus,1274.56678
Clitopilus hobsonii,Erithacus rubecula,1274.56678
Clitopilus hobsonii,Taeniopygia guttata,1274.56678
Clitopilus hobsonii,Camarhynchus parvulus,1274.56678
Clitopilus hobsonii,Motacilla alba,1274.56678
Clitopilus hobsonii,Cairina moschata,1274.56678
Clitopilus hobsonii,Thoracobombus,1274.56678
Clitopilus hobsonii,Andricus lignicolus,1274.56678
Clitopilus hobsonii,Drosophila teissieri,1274.56678
Clitopilus hobsonii,Drosophila pseudoobscura,1274.56678
Clitopilus hobsonii,Teleopsis dalmanni,1274.56678
Clitopilus hobsonii,Physocephala sagittaria,1274.56678
Clitopilus hobsonii,Hermetia illucens,1274.56678
Clitopilus hobsonii,Mayetiola destructor,1274.56678
Clitopilus hobsonii,Macaria,1274.56678
Clitopilus hobsonii,Agriopis marginaria,1274.56678
Clitopilus hobsonii,Bombyx mori,1274.56678
Clitopilus hobsonii,Thyatira batis,1274.56678
Clitopilus hobsonii,Plodia interpunctella,1274.56678
Clitopilus hobsonii,Limenitis camilla,1274.56678
Clitopilus hobsonii,Hipparchia semele,1274.56678
Clitopilus hobsonii,Leptidea sinapis,1274.56678
Clitopilus hobsonii,Pyrgus malvae,1274.56678
Clitopilus hobsonii,Metopolophium dirhodum,1274.56678
Clitopilus hobsonii,Nezara viridula,1274.56678
Clitopilus hobsonii,Coeliccia cyanomelas,1274.56678
Clitopilus hobsonii,Callinectes sapidus,1274.56678
Clitopilus hobsonii,Meloidogyne hapla,1274.56678
Clitopilus hobsonii,Hydra vulgaris,1274.56678
Clitopilus hobsonii,Nyssa sinensis,1598.44475
Clitopilus hobsonii,Sesamum indicum,1598.44475
Clitopilus hobsonii,Paulownia fortunei,1598.44475
Clitopilus hobsonii,Buddleja alternifolia,1598.44475
Clitopilus hobsonii,Fraxinus pennsylvanica,1598.44475
Clitopilus hobsonii,Capsicum chinense,1598.44475
Clitopilus hobsonii,Solanum pennellii,1598.44475
Clitopilus hobsonii,Lycium barbarum,1598.44475
Clitopilus hobsonii,Coffea canephora,1598.44475
Clitopilus hobsonii,Gynochthodes officinalis,1598.44475
Clitopilus hobsonii,Erigeron canadensis,1598.44475
Clitopilus hobsonii,Cynara humilis,1598.44475
Clitopilus hobsonii,Vaccinium macrocarpon,1598.44475
Clitopilus hobsonii,Rhododendron ovatum,1598.44475
Clitopilus hobsonii,Vitis rotundifolia,1598.44475
Clitopilus hobsonii,Camelina,1598.44475
Clitopilus hobsonii,Gossypium gossypioides,1598.44475
Clitopilus hobsonii,Gossypium anomalum,1598.44475
Clitopilus hobsonii,Gossypium hirsutum,1598.44475
Clitopilus hobsonii,Theobroma cacao,1598.44475
Clitopilus hobsonii,Nephelium,1598.44475
Clitopilus hobsonii,Acer negundo,1598.44475
Clitopilus hobsonii,Mangifera foetida,1598.44475
Clitopilus hobsonii,Eucalyptus melliodora,1598.44475
Clitopilus hobsonii,Corymbia calophylla,1598.44475
Clitopilus hobsonii,Salix suchowensis,1598.44475
Clitopilus hobsonii,Lagenaria siceraria,1598.44475
Clitopilus hobsonii,Cucurbita argyrosperma,1598.44475
Clitopilus hobsonii,Luffa acutangula,1598.44475
Clitopilus hobsonii,Corylus avellana,1598.44475
Clitopilus hobsonii,Cannabis sativa,1598.44475
Clitopilus hobsonii,Boehmeria,1598.44475
Clitopilus hobsonii,Ziziphus jujuba,1598.44475
Clitopilus hobsonii,Maesopsis eminii,1598.44475
Clitopilus hobsonii,Fragaria iinumae,1598.44475
Clitopilus hobsonii,Prunus davidiana,1598.44475
Clitopilus hobsonii,Zingiber officinale,1598.44475
Clitopilus hobsonii,Typha latifolia,1598.44475
Clitopilus hobsonii,Brocchinia acuminata,1598.44475
Clitopilus hobsonii,Leersia perrieri,1598.44475
Clitopilus hobsonii,Aegilops longissima,1598.44475
Clitopilus hobsonii,Aegilops sharonensis,1598.44475
Clitopilus hobsonii,Aegilops tauschii,1598.44475
Clitopilus hobsonii,Triticum dicoccoides,1598.44475
Clitopilus hobsonii,Aegilops searsii,1598.44475
Clitopilus hobsonii,Brachypodium distachyon,1598.44475
Clitopilus hobsonii,Urochloa ruziziensis,1598.44475
Clitopilus hobsonii,Carex hostiana,1598.44475
Clitopilus hobsonii,Phoenix dactylifera,1598.44475
Clitopilus hobsonii,Ceratopteris richardii,1598.44475
Marasmius oreades,Clitopilus hobsonii,132.65818
Marasmius oreades,Marasmius oreades,0.0
Marasmius oreades,Flammulina velutipes,88.546
Marasmius oreades,Pleurotus cornucopiae,88.546
Marasmius oreades,Hypsizygus marmoreus,121.03802
Marasmius oreades,Hericium erinaceus,156.71312
Marasmius oreades,Trametes hirsuta,157.15093000000002
Marasmius oreades,Pyrrhoderma noxium,253.94238
Marasmius oreades,Ceratobasidium cornigerum,304.85712
Marasmius oreades,Exobasidium,442.44
Marasmius oreades,Ustilago maydis,442.44
Marasmius oreades,Melampsora medusae,488.95349
Marasmius oreades,Aspergillus luchuensis,642.0299999999999
