Selected taxon summary:
Bacteria: 132
Archaea: 15

Selected taxon list:
Anabaena cylindrica
Paenarthrobacter aurescens
Dactylococcopsis salina
Jonesia denitrificans
Leptolyngbya boryana
Tolumonas auensis
Lacrimispora saccharolytica
Shewanella amazonensis
Carboxydothermus hydrogenoformans
Myxococcus xanthus
Bacillus thuringiensis
Bifidobacterium actinocoloniiforme
Mycolicibacterium gilvum
Spiroplasma eriocheiris
Halomonas campaniensis
Spirochaeta thermophila
Ferriphaselus amnicola
Rhodoferax ferrireducens
Nitrobacter hamburgensis
Novosphingobium resinovorum
Kushneria marisflavi
Staphylococcus pseudintermedius
Pseudomonas fulva
Nostoc punctiforme
Micromonospora aurantiaca
Mycobacterium haemophilum
Brachyspira murdochii
Hyphomicrobium nitrativorans
Oleidesulfovibrio alaskensis
Nonlabens tegetincola
Acaryochloris marina
Brachyspira hyodysenteriae
Staphylococcus aureus
Sphingomonas koreensis
Desulfomicrobium orale
Roseiflexus castenholzii
Spiroplasma chrysopicola
Shewanella denitrificans
Amylolactobacillus amylophilus
Thauera humireducens
Chlamydia felis
Dehalococcoides mccartyi
Thermocrinis albus
Cupriavidus necator
Hydrogenobacter thermophilus
Arcanobacterium haemolyticum
Stenotrophomonas acidaminiphila
Kangiella geojedonensis
Anoxybacillus amylolyticus
Acidothermus cellulolyticus
Aerococcus viridans
Octadecabacter arcticus
Parascardovia denticolens
Kocuria palustris
Rhodococcus fascians
Thioalkalivibrio sulfidiphilus
Neorhizobium galegae
Oscillatoria nigro-viridis
Mesotoga prima
Pluralibacter gergoviae
Nocardiopsis dassonvillei
Macrococcus caseolyticus
Dokdonella koreensis
Corynebacterium ureicelerivorans
Pimelobacter simplex
Priestia megaterium
Lutibacter litoralis
Salinispora tropica
Eubacterium limosum
Pseudomonas citronellolis
Brevibacillus brevis
Anaerostipes hadrus
Azospirillum thiophilum
Xanthomonas sacchari
Treponema brennaborense
Chitinophaga pinensis
Clostridium formicaceticum
Brevibacillus laterosporus
Vibrio alginolyticus
Thiomonas intermedia
Pediococcus pentosaceus
Alkalihalobacillus krulwichiae
Gottschalkia purinilytica
Nakamurella multipartita
Streptomyces albus
Dyella thiooxydans
Thalassolituus oleivorans
Weissella ceti
Cellulosilyticum lentocellum
Pandoraea pnomenusa
Thermus scotoductus
Intestinimonas butyriciproducens
Castellaniella defragrans
Erwinia amylovora
Neisseria lactamica
Rhodoferax antarcticus
Cyanobacterium aponinum
Borreliella valaisiana
Bartonella quintana
Ruegeria pomeroyi
Ralstonia mannitolilytica
Thiomicrospira cyclica
Clostridium butyricum
Acinetobacter baumannii
Actinoplanes missouriensis
Rhodospirillum centenum
Nocardia farcinica
Chloroflexus aggregans
Neorickettsia sennetsu
Marinovum algicola
Brevibacterium aurantiacum
Thermacetogenium phaeum
Clostridium argentinense
Eggerthella lenta
Treponema putidum
Serratia liquefaciens
Chlamydia muridarum
Syntrophothermus lipocalidus
Corynebacterium singulare
Thermobispora bispora
Taylorella equigenitalis
Microbulbifer agarilyticus
Sphingomonas melonis
Thermus brockianus
Pseudoalteromonas translucida
Clostridium saccharobutylicum
Photobacterium gaetbulicola
Streptococcus iniae
Thermus aquaticus
Bacteroides caccae
Halioglobus pacificus
Vibrio vulnificus
Methanocaldococcus fervens
Caldivirga maquilingensis
Methanohalophilus mahii
Desulfurococcus mucosus
Natronomonas pharaonis
Natrinema pellirubrum
Ignicoccus islandicus
Archaeoglobus sulfaticallidus
Methanosphaera stadtmanae
Methanobrevibacter ruminantium
Thermococcus nautili
Methanohalophilus halophilus
Thermococcus sibiricus
Halobacterium salinarum
Haloterrigena turkmenica
