Cryptococcus neoformans var. neoformans
Cryptococcus neoformans var. grubii
Clitopilus hobsonii
Marasmius oreades
Agaricus bisporus
Flammulina velutipes
Pleurotus cornucopiae
Hypsizygus marmoreus
Hericium erinaceus
Sparassis crispa
Ganoderma boninense
Trametes hirsuta
Pyrrhoderma noxium
Ceratobasidium cornigerum
Exobasidium
Malassezia globosa
Sporisorium reilianum f. sp. reilianum
Sporisorium reilianum f. sp. zeae
Sporisorium scitamineum
Ustilago maydis
Melampsora medusae
Aspergillus luchuensis
Aspergillus oryzae
Aspergillus flavus
Aspergillus fumigatus
Aspergillus sojae
Aspergillus chevalieri
Penicillium oxalicum
Penicillium polonicum
Penicillium chrysogenum
Talaromyces pinophilus
Talaromyces wortmannii
Exophiala dermatitidis
Blumeria graminis
Botrytis cinerea
Trichothecium roseum
Calonectria leucothoes
Fusarium graminearum
Fusarium culmorum
Fusarium pseudograminearum
Fusarium venenatum
Fusarium poae
Fusarium verticillioides
Fusarium circinatum
Fusarium fujikuroi
Trichoderma harzianum
Drechmeria balanoides
Purpureocillium lilacinum
Ustilaginoidea virens
Epichloe typhina
Epichloe festucae
Pochonia chlamydosporia
Podospora
Thermothelomyces thermophilus
Thermothielavioides terrestris
Neurospora crassa
Pyricularia oryzae
Pyricularia grisea
Pyricularia pennisetigena
Chrysoporthe cubensis
Valsa mali var. mali
Valsa mali var. pyri
Colletotrichum higginsianum
Colletotrichum acutatum
Neofusicoccum parvum
Alternaria solani
Alternaria arborescens
Pyrenophora teres
Ascochyta rabiei
Zymoseptoria tritici
Fulvia fulva
Cercospora beticola
Cercospora sojina
Venturia effusa
Peltaster fructicola
Morchella rufobrunnea
Cyberlindnera fabianii
Saccharomycopsis malanga
Sugiyamaella lignohabitans
Komagataella pastoris
Pichia kudriavzevii
Brettanomyces bruxellensis
Ogataea parapolymorpha
Candida albicans
Candida dubliniensis
Candida orthopsilosis
Scheffersomyces stipitis
Debaryomyces hansenii
[Candida] intermedia
Metschnikowia reukaufii
Eremothecium gossypii
