Bdellovibrio bacteriovorus
Pseudobdellovibrio exovorus
Desulfarculus baarsii
Desulfococcus multivorans
Desulforapulum autotrophicum
Desulfobacula toluolica
Desulfomonile tiedjei
Syntrophobacter fumaroxidans
Desulfobacca acetoxidans
Syntrophus aciditrophicus
Desulfocapsa sulfexigens
Desulfotalea psychrophila
Desulfurivibrio alkaliphilus
Halobacteriovorax marinus
Anaeromyxobacter dehalogenans
Archangium gephyra
Myxococcus xanthus
Corallococcus macrosporus
Corallococcus coralloides
Stigmatella aurantiaca
Sandaracinus amylolyticus
Chondromyces crocatus
Sorangium cellulosum
Trichlorobacter lovleyi
Citrifermentans bemidjiense
Geotalea uraniireducens
Geotalea daltonii
Geobacter pickeringii
Geobacter metallireducens
Geoalkalibacter subterraneus
Syntrophotalea carbinolica
Syntrophotalea acetylenica
Pelobacter propionicus
Desulfohalobium retbaense
Lawsonia intracellularis
Desulfovibrio desulfuricans
Desulfovibrio piger
Desulfovibrio vulgaris
Oleidesulfovibrio alaskensis
Pseudodesulfovibrio aespoeensis
Maridesulfovibrio salexigens
Desulfocurvibacter africanus
Solidesulfovibrio magneticus
Desulfomicrobium orale
Desulfomicrobium baculatum
Desulfurella acetivorans
Hippea maritima
Granulicella mallensis
Granulicella tundricola
Terriglobus roseus
Terriglobus saanensis
Acidobacterium capsulatum
Methylocystis bryophila
Beijerinckia indica subsp. indica
Beijerinckia indica subsp. lacticogenes
Methylocella silvestris
Bradyrhizobium oligotrophicum
Bradyrhizobium icense
Bradyrhizobium japonicum
Rhodopseudomonas palustris
Nitrobacter hamburgensis
Nitrobacter winogradskyi
Afipia carboxidovorans
Methylobacterium radiotolerans
Methylobacterium aquaticum
Methylobacterium nodulans
Methylorubrum populi
Bosea thiooxidans
Hyphomicrobium nitrativorans
Hyphomicrobium denitrificans
Rhodomicrobium vannielii
Xanthobacter autotrophicus
Azorhizobium caulinodans
Starkeya novella
Blastochloris viridis
Martelella mediterranea
Martelella endophytica
Agrobacterium vitis
Neorhizobium galegae
Rhizobium leguminosarum
Rhizobium etli
Rhizobium tropici
Ensifer adhaerens
Aminobacter aminovorans
Brucella pseudogrignonensis
Brucella anthropi
Brucella melitensis
Bartonella clarridgeiae
Bartonella tribocorum
Bartonella quintana
Bartonella henselae
Bartonella bacilliformis
Bartonella grahamii
Pelagibacterium halotolerans
Brevundimonas vesicularis
Asticcacaulis excentricus
Brevundimonas subvibrioides
Brevundimonas naejangsanensis
Phenylobacterium immobile
Caulobacter segnis
Caulobacter henricii
Parvularcula bermudensis
Marinovum algicola
Octadecabacter arcticus
Roseobacter denitrificans
Roseobacter litoralis
Tateyamaria omphalii
Celeribacter marinus
Roseovarius mucosus
Phaeobacter gallaeciensis
Leisingera methylohalidivorans
Ruegeria pomeroyi
Tritonibacter mobilis
Yoonia vestfoldensis
Ketogulonicigenium robustum
Roseibacterium elongatum
Dinoroseobacter shibae
Croceibacterium atlanticum
Altererythrobacter epoxidivorans
Altererythrobacter ishigakiensis
Pelagerythrobacter marensis
Paraurantiacibacter namhicola
Aurantiacibacter gangjinensis
Erythrobacter neustonensis
Erythrobacter litoralis
Qipengyuania flava
Parvibaculum lavamentivorans
Rhodobaca barguzinensis
Paracoccus yeei
Paracoccus aminophilus
Paracoccus denitrificans
Rhodobacter capsulatus
Thioclava pacifica
Rhodovulum sulfidophilum
Hirschia baltica
Hyphomonas neptunium
Maricaulis maris
Sphingomonas melonis
Sphingobium herbicidovorans
Sphingobium indicum
Sphingobium chlorophenolicum
Sphingobium baderi
Zymomonas mobilis subsp. pomaceae
Zymomonas mobilis subsp. mobilis
Rhizorhabdus wittichii
Sphingomonas sanxanigenens
Sphingomonas koreensis
Novosphingobium aromaticivorans
Novosphingobium resinovorum
Sphingorhabdus wooponensis
Sphingopyxis alaskensis
Sphingopyxis macrogoltabida
Sphingopyxis granuli
Novosphingobium pentaromativorans
Croceicoccus marinus
Tsuneonella dongtanensis
Methyloceanibacter caenitepidi
Roseibium aggregatum
Pannonibacter phragmitetus
Roseomonas gilardii subsp. gilardii
Roseomonas gilardii subsp. rosea
Neoasaia chiangmaiensis
Kozakia baliensis
Asaia bogorensis
Acetobacter aceti
Acetobacter senegalensis
Acetobacter persici
Gluconobacter oxydans
Acetobacter ascendens
Gluconacetobacter diazotrophicus
Komagataeibacter xylinus
Komagataeibacter medellinensis
Granulibacter bethesdensis
Acidiphilium multivorum
Pararhodospirillum photometricum
Thalassospira xiamenensis
Micavibrio aeruginosavorus
Rhodospirillum centenum
Nitrospirillum amazonense
Azospirillum brasilense
Azospirillum thiophilum
Tistrella mobilis
Magnetospirillum gryphiswaldense
Rickettsia bellii
Rickettsia typhi
Rickettsia rhipicephali
Rickettsia australis
Rickettsia akari
Rickettsia canadensis
Orientia tsutsugamushi
Neorickettsia risticii
Neorickettsia sennetsu
Anaplasma phagocytophilum
Ehrlichia ruminantium
Ehrlichia muris
Ehrlichia chaffeensis
Wolbachia endosymbiont of Onchocerca ochengi
Magnetococcus marinus
Rhizobacter fulvus
Hahella chejuensis
Oleiphilus messinensis
Marinobacter psychrophilus
Marinobacter nauticus
Halotalea alkalilenta
Cobetia marina
Halomonas campaniensis
Halomonas huangheensis
Chromohalobacter salexigens
Kushneria marisflavi
Alcanivorax borkumensis
Alcanivorax pacificus
Alcanivorax dieselolei
Reinekea marinisedimentorum
Marinomonas posidonica
Marinomonas mediterranea
Oleispira antarctica
Thalassolituus oleivorans
Microbulbifer agarilyticus
Microbulbifer thermotolerans
Cellvibrio japonicus
Saccharophagus degradans
Teredinibacter turnerae
Simiduia agarivorans
Zhongshania antarctica
Halioglobus japonicus
Halioglobus pacificus
Pseudomonas protegens
Pseudomonas rhizosphaerae
Pseudomonas monteilii
Pseudomonas fulva
Azotobacter chroococcum
Pseudomonas psychrotolerans
Pseudomonas aeruginosa
Pseudomonas citronellolis
Pseudomonas alcaligenes
Pseudomonas mendocina
Azotobacter vinelandii
Stutzerimonas balearica
Pseudomonas resinovorans
Granulosicoccus antarcticus
Acinetobacter baumannii
Acinetobacter schindleri
Acinetobacter johnsonii
Acinetobacter soli
Acinetobacter junii
Moraxella ovis
Moraxella catarrhalis
Psychrobacter urativorans
Psychrobacter arcticus
