,Tree1,Tree2,VLMC dist,threshold,min_count,max_depth,Tree1 VLMC size,Tree2 VLMC size,Tree1 GC ratio,Tree2 GC ratio
0,Hoolock leuconedys,Symphalangus syndactylus,0.124577,0.0,25,9,2359296,2359295,40.61566777058686,40.11323405541729
1,Hoolock leuconedys,Hylobates pileatus,0.0553957,0.0,25,9,2359296,2359296,40.61566777058686,40.64555888453407
2,Hoolock leuconedys,Hylobates moloch,0.0482521,0.0,25,9,2359296,2359296,40.61566777058686,39.60913927671327
3,Hoolock leuconedys,Nomascus leucogenys,0.0635818,0.0,25,9,2359296,2359296,40.61566777058686,40.30296197476748
4,Hoolock leuconedys,Nomascus siki,0.0527223,0.0,25,9,2359296,2359296,40.61566777058686,40.48972154609308
5,Hoolock leuconedys,Gorilla gorilla,0.10629,0.0,25,9,2359296,2359296,40.61566777058686,39.52897855993019
6,Hoolock leuconedys,Pan paniscus,0.102961,0.0,25,9,2359296,2359294,40.61566777058686,39.584494024464064
7,Hoolock leuconedys,Homo sapiens subsp. Denisova,0.0827981,0.0,25,9,2359296,2359296,40.61566777058686,38.559771286613994
8,Hoolock leuconedys,Pongo pygmaeus,0.14365,0.0,25,9,2359296,2359294,40.61566777058686,40.56904561665204
9,Hoolock leuconedys,Pongo abelii,0.156125,0.0,25,9,2359296,2359296,40.61566777058686,40.533057862356024
10,Hoolock leuconedys,Chlorocebus aethiops,0.0875918,0.0,25,9,2359296,2359296,40.61566777058686,40.399827615826005
11,Hoolock leuconedys,Chlorocebus sabaeus,0.0933838,0.0,25,9,2359296,2359296,40.61566777058686,40.45298252515873
12,Hoolock leuconedys,Erythrocebus patas,0.113907,0.0,25,9,2359296,2359296,40.61566777058686,40.34508175428735
13,Hoolock leuconedys,Cercopithecus mona,0.0833138,0.0,25,9,2359296,2359296,40.61566777058686,40.39017091595789
14,Hoolock leuconedys,Cercopithecus neglectus,0.14398,0.0,25,9,2359296,2359296,40.61566777058686,39.06223279425127
