,Tree1,Tree2,VLMC dist,threshold,min_count,max_depth,Tree1 VLMC size,Tree2 VLMC size,Tree1 GC ratio,Tree2 GC ratio
0,Petromyzon marinus,Meles meles,0.302717,0.5,25,9,2358600,2357425,47.04475459678461,41.95625142360072
1,Petromyzon marinus,Gorilla gorilla,0.305875,0.5,25,9,2358600,2356824,47.04475459678461,39.52897855993019
2,Petromyzon marinus,Caprimulgus europaeus,0.275501,0.5,25,9,2358600,2342634,47.04475459678461,41.41646636833175
3,Petromyzon marinus,Thamnophis elegans,0.316735,0.5,25,9,2358600,2358636,47.04475459678461,39.52205286915864
4,Petromyzon marinus,Delia,0.354519,0.5,25,9,2358600,2358858,47.04475459678461,29.00641733821071
5,Petromyzon marinus,Peromyscus polionotus,0.271504,0.5,25,9,2358600,2348929,47.04475459678461,36.68915195225202
6,Petromyzon marinus,Rhopalosiphum maidis,0.278355,0.5,25,9,2358600,2322610,47.04475459678461,27.34512723972527
7,Petromyzon marinus,Neogale vison,0.300002,0.5,25,9,2358600,2357080,47.04475459678461,41.74068544109419
8,Petromyzon marinus,Anolis carolinensis,0.323343,0.5,25,9,2358600,2358399,47.04475459678461,37.64739707438255
9,Petromyzon marinus,Equus quagga,0.272884,0.5,25,9,2358600,2355377,47.04475459678461,40.46231288465208
10,Petromyzon marinus,Arvicanthis niloticus,0.277812,0.5,25,9,2358600,2352073,47.04475459678461,40.541344662649706
11,Petromyzon marinus,Hypena proboscidalis,0.309069,0.5,25,9,2358600,2357958,47.04475459678461,34.76644979530699
12,Petromyzon marinus,Pangasianodon hypophthalmus,0.261304,0.5,25,9,2358600,2352541,47.04475459678461,38.309909061234286
13,Petromyzon marinus,Thunnus maccoyii,0.25597,0.5,25,9,2358600,2347444,47.04475459678461,39.2383162767008
14,Petromyzon marinus,Oryzias javanicus,0.272739,0.5,25,9,2358600,2356497,47.04475459678461,38.47685815425222
15,Petromyzon marinus,Toxotes chatareus,0.261394,0.5,25,9,2358600,2344857,47.04475459678461,40.57855514915224
16,Petromyzon marinus,Rhododendron williamsianum,0.267059,0.5,25,9,2358600,2346250,47.04475459678461,26.016648389673637
17,Petromyzon marinus,Eucalyptus curtisii,0.269057,0.5,25,9,2358600,2353655,47.04475459678461,39.17967675152571
18,Petromyzon marinus,Triticum urartu,0.351925,0.5,25,9,2358600,2359290,47.04475459678461,45.05094251806548
19,Petromyzon marinus,Gossypium arboreum,0.365354,0.5,25,9,2358600,2359046,47.04475459678461,34.73591423296452
20,Petromyzon marinus,Acanthochlamys bracteata,0.265089,0.5,25,9,2358600,2318487,47.04475459678461,34.6096718685735
21,Petromyzon marinus,Taxus chinensis,0.302961,0.5,25,9,2358600,2359262,47.04475459678461,36.30109139507728
22,Petromyzon marinus,Cicer arietinum,0.335725,0.5,25,9,2358600,2351828,47.04475459678461,27.846768268186235
23,Petromyzon marinus,Aegilops speltoides,0.340782,0.5,25,9,2358600,2359278,47.04475459678461,45.747006290569985
24,Petromyzon marinus,Raphanus raphanistrum,0.310948,0.5,25,9,2358600,2356740,47.04475459678461,35.99540676444419
25,Petromyzon marinus,Leptodermis,0.297386,0.5,25,9,2358600,2357284,47.04475459678461,35.64379593395106
26,Petromyzon marinus,Coix aquatica,0.353756,0.5,25,9,2358600,2359264,47.04475459678461,46.16608430325367
27,Petromyzon marinus,Eucalyptus grandis,0.271284,0.5,25,9,2358600,2355810,47.04475459678461,38.887932145748415
28,Petromyzon marinus,Oryza glaberrima,0.276718,0.5,25,9,2358600,2355654,47.04475459678461,42.33947275537171
29,Petromyzon marinus,Ceriops tagal,0.2889,0.5,25,9,2358600,2330435,47.04475459678461,35.819160459204156
30,Petromyzon marinus,Coptis,0.316826,0.5,25,9,2358600,2358707,47.04475459678461,36.87211416210413
31,Petromyzon marinus,Lachancea fermentati,0.283126,0.5,25,9,2358600,1517930,47.04475459678461,41.95278327848872
