,Tree1,Tree2,VLMC dist,threshold,min_count,max_depth,Tree1 VLMC size,Tree2 VLMC size,Tree1 GC ratio,Tree2 GC ratio
0,Galeopterus variegatus,Otolemur garnettii,0.237724,0.0,25,27,1366459318,1122861338,34.76677460178301,38.013368451217595
1,Galeopterus variegatus,Daubentonia madagascariensis,0.21326,0.0,25,27,1366459318,1121253884,34.76677460178301,39.39099517069151
2,Galeopterus variegatus,Eulemur macaco,0.211919,0.0,25,27,1366459318,906081483,34.76677460178301,39.84544899667991
3,Galeopterus variegatus,Aotus nancymaae,0.232129,0.0,25,27,1366459318,1326151169,34.76677460178301,38.13125614956874
4,Galeopterus variegatus,Callithrix jacchus,0.242508,0.0,25,27,1366459318,1477543103,34.76677460178301,40.22019165548447
5,Galeopterus variegatus,Nomascus leucogenys,0.232789,0.0,25,27,1366459318,1429094618,34.76677460178301,40.30296197476748
6,Galeopterus variegatus,Pan paniscus,0.236641,0.0,25,27,1366459318,1594906315,34.76677460178301,39.584494024464064
7,Galeopterus variegatus,Homo sapiens subsp. Denisova,0.240418,0.0,25,27,1366459318,1645158745,34.76677460178301,38.559771286613994
8,Galeopterus variegatus,Pongo abelii,0.247201,0.0,25,27,1366459318,1777655117,34.76677460178301,40.533057862356024
9,Galeopterus variegatus,Papio anubis,0.231617,0.0,25,27,1366459318,1423925940,34.76677460178301,40.34269736216134
10,Galeopterus variegatus,Mandrillus leucophaeus,0.229206,0.0,25,27,1366459318,1332736073,34.76677460178301,35.73871811431402
11,Galeopterus variegatus,Macaca nemestrina,0.229519,0.0,25,27,1366459318,1385915394,34.76677460178301,38.95023271283116
12,Galeopterus variegatus,Nasalis larvatus,0.226165,0.0,25,27,1366459318,1113980469,34.76677460178301,31.457062330820754
13,Galeopterus variegatus,Colobus angolensis,0.229478,0.0,25,27,1366459318,1312980976,34.76677460178301,36.348927770522955
14,Galeopterus variegatus,Carlito syrichta,0.258586,0.0,25,27,1366459318,1992894894,34.76677460178301,39.53765480833894
15,Galeopterus variegatus,Chlorocebus sabaeus,0.233763,0.0,25,27,1366459318,1476348854,34.76677460178301,40.45298252515873
16,Otolemur garnettii,Daubentonia madagascariensis,0.210914,0.0,25,27,1122861338,1121253884,38.013368451217595,39.39099517069151
17,Otolemur garnettii,Eulemur macaco,0.203105,0.0,25,27,1122861338,906081483,38.013368451217595,39.84544899667991
18,Otolemur garnettii,Aotus nancymaae,0.224361,0.0,25,27,1122861338,1326151169,38.013368451217595,38.13125614956874
19,Otolemur garnettii,Callithrix jacchus,0.232628,0.0,25,27,1122861338,1477543103,38.013368451217595,40.22019165548447
20,Otolemur garnettii,Nomascus leucogenys,0.228312,0.0,25,27,1122861338,1429094618,38.013368451217595,40.30296197476748
21,Otolemur garnettii,Pan paniscus,0.232618,0.0,25,27,1122861338,1594906315,38.013368451217595,39.584494024464064
22,Otolemur garnettii,Homo sapiens subsp. Denisova,0.236108,0.0,25,27,1122861338,1645158745,38.013368451217595,38.559771286613994
23,Otolemur garnettii,Pongo abelii,0.242854,0.0,25,27,1122861338,1777655117,38.013368451217595,40.533057862356024
24,Otolemur garnettii,Papio anubis,0.22623,0.0,25,27,1122861338,1423925940,38.013368451217595,40.34269736216134
25,Otolemur garnettii,Mandrillus leucophaeus,0.224066,0.0,25,27,1122861338,1332736073,38.013368451217595,35.73871811431402
26,Otolemur garnettii,Macaca nemestrina,0.224012,0.0,25,27,1122861338,1385915394,38.013368451217595,38.95023271283116
27,Otolemur garnettii,Nasalis larvatus,0.221067,0.0,25,27,1122861338,1113980469,38.013368451217595,31.457062330820754
28,Otolemur garnettii,Colobus angolensis,0.223809,0.0,25,27,1122861338,1312980976,38.013368451217595,36.348927770522955
29,Otolemur garnettii,Carlito syrichta,0.24941,0.0,25,27,1122861338,1992894894,38.013368451217595,39.53765480833894
30,Otolemur garnettii,Chlorocebus sabaeus,0.227695,0.0,25,27,1122861338,1476348854,38.013368451217595,40.45298252515873
31,Daubentonia madagascariensis,Eulemur macaco,0.161137,0.0,25,27,1121253884,906081483,39.39099517069151,39.84544899667991
32,Daubentonia madagascariensis,Aotus nancymaae,0.208317,0.0,25,27,1121253884,1326151169,39.39099517069151,38.13125614956874
