,Tree1,Tree2,VLMC dist,threshold,min_count,max_depth,Tree1 VLMC size,Tree2 VLMC size,Tree1 GC ratio,Tree2 GC ratio
0,Serratia fonticola,Serratia liquefaciens,0.0671867,0.0,25,6,24576,24576,52.95037721402147,54.61974179332833
1,Serratia fonticola,Escherichia coli,0.101375,0.0,25,6,24576,24576,52.95037721402147,49.85936775953149
2,Serratia fonticola,Kosakonia cowanii,0.114879,0.0,25,6,24576,24559,52.95037721402147,55.453819026500206
3,Serratia fonticola,Cronobacter sakazakii,0.131606,0.0,25,6,24576,24515,52.95037721402147,56.20714302563174
4,Serratia fonticola,Kosakonia sacchari,0.102192,0.0,25,6,24576,24566,52.95037721402147,53.07339219419046
5,Serratia fonticola,Shimwellia blattae,0.125488,0.0,25,6,24576,24548,52.95037721402147,55.809868186067014
6,Serratia fonticola,Pluralibacter gergoviae,0.130189,0.0,25,6,24576,24576,52.95037721402147,58.23970724853176
7,Serratia fonticola,Enterobacter hormaechei,0.0983584,0.0,25,6,24576,24567,52.95037721402147,54.29433520905072
8,Serratia fonticola,Klebsiella oxytoca,0.108244,0.0,25,6,24576,24573,52.95037721402147,54.451010511306556
9,Serratia fonticola,Tatumella citrea,0.135623,0.0,25,6,24576,24563,52.95037721402147,49.08963200434897
10,Serratia fonticola,Pantoea agglomerans,0.114381,0.0,25,6,24576,24543,52.95037721402147,54.42626277168846
11,Serratia fonticola,Pantoea ananatis,0.0989536,0.0,25,6,24576,24569,52.95037721402147,52.91293144976537
12,Serratia fonticola,Erwinia amylovora,0.0944914,0.0,25,6,24576,24554,52.95037721402147,52.91414899141861
13,Serratia fonticola,Pantoea rwandensis,0.0890704,0.0,25,6,24576,24576,52.95037721402147,51.910216420535086
14,Serratia fonticola,Citrobacter freundii,0.0900553,0.0,25,6,24576,24576,52.95037721402147,51.07152106980217
15,Serratia fonticola,Cedecea neteri,0.0944057,0.0,25,6,24576,24575,52.95037721402147,53.55391074733438
16,Serratia fonticola,Providencia stuartii,0.140025,0.0,25,6,24576,24576,52.95037721402147,40.89903469900389
17,Serratia fonticola,Gilliamella apicola,0.182511,0.0,25,6,24576,24575,52.95037721402147,33.201718925482815
18,Serratia fonticola,Frischella perrara,0.181488,0.0,25,6,24576,24566,52.95037721402147,33.69717649829444
19,Serratia fonticola,Arsenophonus,0.190206,0.0,25,6,24576,24574,52.95037721402147,35.90213943253849
20,Serratia fonticola,Photorhabdus thracensis,0.116146,0.0,25,6,24576,24576,52.95037721402147,43.5639422732826
21,Serratia fonticola,Xenorhabdus nematophila,0.124413,0.0,25,6,24576,24576,52.95037721402147,43.29873236554108
22,Serratia fonticola,Xenorhabdus doucetiae,0.118524,0.0,25,6,24576,24576,52.95037721402147,45.14180903016147
23,Serratia fonticola,Xenorhabdus bovienii,0.111955,0.0,25,6,24576,24576,52.95037721402147,44.13485669073112
24,Serratia fonticola,Xenorhabdus hominickii,0.120611,0.0,25,6,24576,24576,52.95037721402147,42.8900330202513
25,Serratia fonticola,Proteus mirabilis,0.156318,0.0,25,6,24576,24576,52.95037721402147,38.3949991267743
26,Serratia fonticola,Edwardsiella tarda,0.108586,0.0,25,6,24576,24576,52.95037721402147,56.4507719475974
27,Serratia fonticola,Serratia rubidaea,0.118621,0.0,25,6,24576,24576,52.95037721402147,58.518675819753085
28,Serratia fonticola,Rahnella aquatilis,0.110253,0.0,25,6,24576,24576,52.95037721402147,51.43092814447772
29,Serratia fonticola,Yersinia ruckeri,0.0930168,0.0,25,6,24576,24576,52.95037721402147,46.91633514229363
30,Serratia fonticola,Sodalis glossinidius,0.100589,0.0,25,6,24576,24576,52.95037721402147,53.82946660286024
31,Serratia fonticola,Dickeya solani,0.103367,0.0,25,6,24576,24576,52.95037721402147,55.63975436132831
32,Serratia fonticola,Pragia fontium,0.109285,0.0,25,6,24576,24576,52.95037721402147,44.691823742494684
33,Serratia fonticola,Pectobacterium carotovorum,0.0935024,0.0,25,6,24576,24576,52.95037721402147,51.42456960900671
34,Serratia fonticola,Serratia marcescens,0.1133,0.0,25,6,24576,24576,52.95037721402147,58.71708538668184
35,Serratia fonticola,Obesumbacterium proteus,0.100426,0.0,25,6,24576,24576,52.95037721402147,48.27769679715964
36,Serratia liquefaciens,Escherichia coli,0.0976482,0.0,25,6,24576,24576,54.61974179332833,49.85936775953149
37,Serratia liquefaciens,Kosakonia cowanii,0.106464,0.0,25,6,24576,24559,54.61974179332833,55.453819026500206
38,Serratia liquefaciens,Cronobacter sakazakii,0.115544,0.0,25,6,24576,24515,54.61974179332833,56.20714302563174
39,Serratia liquefaciens,Kosakonia sacchari,0.0899533,0.0,25,6,24576,24566,54.61974179332833,53.07339219419046
40,Serratia liquefaciens,Shimwellia blattae,0.124445,0.0,25,6,24576,24548,54.61974179332833,55.809868186067014
41,Serratia liquefaciens,Pluralibacter gergoviae,0.115366,0.0,25,6,24576,24576,54.61974179332833,58.23970724853176
42,Serratia liquefaciens,Enterobacter hormaechei,0.0890652,0.0,25,6,24576,24567,54.61974179332833,54.29433520905072
43,Serratia liquefaciens,Klebsiella oxytoca,0.0938844,0.0,25,6,24576,24573,54.61974179332833,54.451010511306556
44,Serratia liquefaciens,Tatumella citrea,0.137846,0.0,25,6,24576,24563,54.61974179332833,49.08963200434897
45,Serratia liquefaciens,Pantoea agglomerans,0.10614,0.0,25,6,24576,24543,54.61974179332833,54.42626277168846
46,Serratia liquefaciens,Pantoea ananatis,0.0916321,0.0,25,6,24576,24569,54.61974179332833,52.91293144976537
47,Serratia liquefaciens,Erwinia amylovora,0.0885413,0.0,25,6,24576,24554,54.61974179332833,52.91414899141861
48,Serratia liquefaciens,Pantoea rwandensis,0.0901268,0.0,25,6,24576,24576,54.61974179332833,51.910216420535086
49,Serratia liquefaciens,Citrobacter freundii,0.0849191,0.0,25,6,24576,24576,54.61974179332833,51.07152106980217
50,Serratia liquefaciens,Cedecea neteri,0.0851256,0.0,25,6,24576,24575,54.61974179332833,53.55391074733438
51,Serratia liquefaciens,Providencia stuartii,0.154983,0.0,25,6,24576,24576,54.61974179332833,40.89903469900389
52,Serratia liquefaciens,Gilliamella apicola,0.195866,0.0,25,6,24576,24575,54.61974179332833,33.201718925482815
53,Serratia liquefaciens,Frischella perrara,0.194823,0.0,25,6,24576,24566,54.61974179332833,33.69717649829444
54,Serratia liquefaciens,Arsenophonus,0.200062,0.0,25,6,24576,24574,54.61974179332833,35.90213943253849
55,Serratia liquefaciens,Photorhabdus thracensis,0.128763,0.0,25,6,24576,24576,54.61974179332833,43.5639422732826
56,Serratia liquefaciens,Xenorhabdus nematophila,0.135877,0.0,25,6,24576,24576,54.61974179332833,43.29873236554108
57,Serratia liquefaciens,Xenorhabdus doucetiae,0.129513,0.0,25,6,24576,24576,54.61974179332833,45.14180903016147
58,Serratia liquefaciens,Xenorhabdus bovienii,0.125031,0.0,25,6,24576,24576,54.61974179332833,44.13485669073112
59,Serratia liquefaciens,Xenorhabdus hominickii,0.135921,0.0,25,6,24576,24576,54.61974179332833,42.8900330202513
60,Serratia liquefaciens,Proteus mirabilis,0.172083,0.0,25,6,24576,24576,54.61974179332833,38.3949991267743
61,Serratia liquefaciens,Edwardsiella tarda,0.115871,0.0,25,6,24576,24576,54.61974179332833,56.4507719475974
62,Serratia liquefaciens,Serratia rubidaea,0.0929773,0.0,25,6,24576,24576,54.61974179332833,58.518675819753085
63,Serratia liquefaciens,Rahnella aquatilis,0.0969548,0.0,25,6,24576,24576,54.61974179332833,51.43092814447772
64,Serratia liquefaciens,Yersinia ruckeri,0.104232,0.0,25,6,24576,24576,54.61974179332833,46.91633514229363
65,Serratia liquefaciens,Sodalis glossinidius,0.0913731,0.0,25,6,24576,24576,54.61974179332833,53.82946660286024
66,Serratia liquefaciens,Dickeya solani,0.0817834,0.0,25,6,24576,24576,54.61974179332833,55.63975436132831
67,Serratia liquefaciens,Pragia fontium,0.121942,0.0,25,6,24576,24576,54.61974179332833,44.691823742494684
68,Serratia liquefaciens,Pectobacterium carotovorum,0.0912032,0.0,25,6,24576,24576,54.61974179332833,51.42456960900671
69,Serratia liquefaciens,Serratia marcescens,0.0870865,0.0,25,6,24576,24576,54.61974179332833,58.71708538668184
70,Serratia liquefaciens,Obesumbacterium proteus,0.108638,0.0,25,6,24576,24576,54.61974179332833,48.27769679715964
71,Escherichia coli,Kosakonia cowanii,0.104083,0.0,25,6,24576,24559,49.85936775953149,55.453819026500206
72,Escherichia coli,Cronobacter sakazakii,0.10955,0.0,25,6,24576,24515,49.85936775953149,56.20714302563174
73,Escherichia coli,Kosakonia sacchari,0.0752212,0.0,25,6,24576,24566,49.85936775953149,53.07339219419046
74,Escherichia coli,Shimwellia blattae,0.118867,0.0,25,6,24576,24548,49.85936775953149,55.809868186067014
75,Escherichia coli,Pluralibacter gergoviae,0.125994,0.0,25,6,24576,24576,49.85936775953149,58.23970724853176
76,Escherichia coli,Enterobacter hormaechei,0.0796654,0.0,25,6,24576,24567,49.85936775953149,54.29433520905072
77,Escherichia coli,Klebsiella oxytoca,0.0928439,0.0,25,6,24576,24573,49.85936775953149,54.451010511306556
78,Escherichia coli,Tatumella citrea,0.112178,0.0,25,6,24576,24563,49.85936775953149,49.08963200434897
79,Escherichia coli,Pantoea agglomerans,0.098179,0.0,25,6,24576,24543,49.85936775953149,54.42626277168846
80,Escherichia coli,Pantoea ananatis,0.084357,0.0,25,6,24576,24569,49.85936775953149,52.91293144976537
81,Escherichia coli,Erwinia amylovora,0.0864696,0.0,25,6,24576,24554,49.85936775953149,52.91414899141861
82,Escherichia coli,Pantoea rwandensis,0.0889353,0.0,25,6,24576,24576,49.85936775953149,51.910216420535086
83,Escherichia coli,Citrobacter freundii,0.0585703,0.0,25,6,24576,24576,49.85936775953149,51.07152106980217
84,Escherichia coli,Cedecea neteri,0.0846892,0.0,25,6,24576,24575,49.85936775953149,53.55391074733438
85,Escherichia coli,Providencia stuartii,0.142003,0.0,25,6,24576,24576,49.85936775953149,40.89903469900389
86,Escherichia coli,Gilliamella apicola,0.183529,0.0,25,6,24576,24575,49.85936775953149,33.201718925482815
87,Escherichia coli,Frischella perrara,0.180836,0.0,25,6,24576,24566,49.85936775953149,33.69717649829444
88,Escherichia coli,Arsenophonus,0.190252,0.0,25,6,24576,24574,49.85936775953149,35.90213943253849
89,Escherichia coli,Photorhabdus thracensis,0.106056,0.0,25,6,24576,24576,49.85936775953149,43.5639422732826
90,Escherichia coli,Xenorhabdus nematophila,0.113465,0.0,25,6,24576,24576,49.85936775953149,43.29873236554108
91,Escherichia coli,Xenorhabdus doucetiae,0.115399,0.0,25,6,24576,24576,49.85936775953149,45.14180903016147
92,Escherichia coli,Xenorhabdus bovienii,0.106652,0.0,25,6,24576,24576,49.85936775953149,44.13485669073112
93,Escherichia coli,Xenorhabdus hominickii,0.11628,0.0,25,6,24576,24576,49.85936775953149,42.8900330202513
94,Escherichia coli,Proteus mirabilis,0.15572,0.0,25,6,24576,24576,49.85936775953149,38.3949991267743
95,Escherichia coli,Edwardsiella tarda,0.135047,0.0,25,6,24576,24576,49.85936775953149,56.4507719475974
96,Escherichia coli,Serratia rubidaea,0.129461,0.0,25,6,24576,24576,49.85936775953149,58.518675819753085
97,Escherichia coli,Rahnella aquatilis,0.0833518,0.0,25,6,24576,24576,49.85936775953149,51.43092814447772
98,Escherichia coli,Yersinia ruckeri,0.0966901,0.0,25,6,24576,24576,49.85936775953149,46.91633514229363
99,Escherichia coli,Sodalis glossinidius,0.103371,0.0,25,6,24576,24576,49.85936775953149,53.82946660286024
100,Escherichia coli,Dickeya solani,0.0995587,0.0,25,6,24576,24576,49.85936775953149,55.63975436132831
101,Escherichia coli,Pragia fontium,0.110143,0.0,25,6,24576,24576,49.85936775953149,44.691823742494684
102,Escherichia coli,Pectobacterium carotovorum,0.0845875,0.0,25,6,24576,24576,49.85936775953149,51.42456960900671
103,Escherichia coli,Serratia marcescens,0.134486,0.0,25,6,24576,24576,49.85936775953149,58.71708538668184
104,Escherichia coli,Obesumbacterium proteus,0.108682,0.0,25,6,24576,24576,49.85936775953149,48.27769679715964
105,Kosakonia cowanii,Cronobacter sakazakii,0.0916695,0.0,25,6,24559,24515,55.453819026500206,56.20714302563174
106,Kosakonia cowanii,Kosakonia sacchari,0.080636,0.0,25,6,24559,24566,55.453819026500206,53.07339219419046
107,Kosakonia cowanii,Shimwellia blattae,0.123903,0.0,25,6,24559,24548,55.453819026500206,55.809868186067014
108,Kosakonia cowanii,Pluralibacter gergoviae,0.0983907,0.0,25,6,24559,24576,55.453819026500206,58.23970724853176
109,Kosakonia cowanii,Enterobacter hormaechei,0.0840758,0.0,25,6,24559,24567,55.453819026500206,54.29433520905072
110,Kosakonia cowanii,Klebsiella oxytoca,0.0882012,0.0,25,6,24559,24573,55.453819026500206,54.451010511306556
111,Kosakonia cowanii,Tatumella citrea,0.159007,0.0,25,6,24559,24563,55.453819026500206,49.08963200434897
112,Kosakonia cowanii,Pantoea agglomerans,0.0938059,0.0,25,6,24559,24543,55.453819026500206,54.42626277168846
113,Kosakonia cowanii,Pantoea ananatis,0.106251,0.0,25,6,24559,24569,55.453819026500206,52.91293144976537
114,Kosakonia cowanii,Erwinia amylovora,0.104471,0.0,25,6,24559,24554,55.453819026500206,52.91414899141861
115,Kosakonia cowanii,Pantoea rwandensis,0.108888,0.0,25,6,24559,24576,55.453819026500206,51.910216420535086
116,Kosakonia cowanii,Citrobacter freundii,0.0993565,0.0,25,6,24559,24576,55.453819026500206,51.07152106980217
117,Kosakonia cowanii,Cedecea neteri,0.0966283,0.0,25,6,24559,24575,55.453819026500206,53.55391074733438
118,Kosakonia cowanii,Providencia stuartii,0.176224,0.0,25,6,24559,24576,55.453819026500206,40.89903469900389
119,Kosakonia cowanii,Gilliamella apicola,0.214906,0.0,25,6,24559,24575,55.453819026500206,33.201718925482815
120,Kosakonia cowanii,Frischella perrara,0.213896,0.0,25,6,24559,24566,55.453819026500206,33.69717649829444
121,Kosakonia cowanii,Arsenophonus,0.215006,0.0,25,6,24559,24574,55.453819026500206,35.90213943253849
122,Kosakonia cowanii,Photorhabdus thracensis,0.153865,0.0,25,6,24559,24576,55.453819026500206,43.5639422732826
123,Kosakonia cowanii,Xenorhabdus nematophila,0.162713,0.0,25,6,24559,24576,55.453819026500206,43.29873236554108
124,Kosakonia cowanii,Xenorhabdus doucetiae,0.157261,0.0,25,6,24559,24576,55.453819026500206,45.14180903016147
125,Kosakonia cowanii,Xenorhabdus bovienii,0.152613,0.0,25,6,24559,24576,55.453819026500206,44.13485669073112
126,Kosakonia cowanii,Xenorhabdus hominickii,0.163103,0.0,25,6,24559,24576,55.453819026500206,42.8900330202513
