,Tree1,Tree2,VLMC dist,threshold,min_count,max_depth,Tree1 VLMC size,Tree2 VLMC size,Tree1 GC ratio,Tree2 GC ratio
0,Hoolock leuconedys,Symphalangus syndactylus,0.123204,3.9075,25,24,189816504,247506741,40.61566777058686,40.11323405541729
1,Hoolock leuconedys,Hylobates pileatus,0.0869849,3.9075,25,24,189816504,198004595,40.61566777058686,40.64555888453407
2,Hoolock leuconedys,Hylobates moloch,0.0819754,3.9075,25,24,189816504,187209721,40.61566777058686,39.60913927671327
3,Hoolock leuconedys,Nomascus leucogenys,0.089449,3.9075,25,24,189816504,199464351,40.61566777058686,40.30296197476748
4,Hoolock leuconedys,Nomascus siki,0.0852904,3.9075,25,24,189816504,189347427,40.61566777058686,40.48972154609308
5,Hoolock leuconedys,Gorilla gorilla,0.112009,3.9075,25,24,189816504,220719489,40.61566777058686,39.52897855993019
6,Hoolock leuconedys,Pan paniscus,0.112528,3.9075,25,24,189816504,230633246,40.61566777058686,39.584494024464064
7,Hoolock leuconedys,Homo sapiens subsp. Denisova,0.111926,3.9075,25,24,189816504,268387513,40.61566777058686,38.559771286613994
8,Hoolock leuconedys,Pongo pygmaeus,0.131711,3.9075,25,24,189816504,277127747,40.61566777058686,40.56904561665204
9,Hoolock leuconedys,Pongo abelii,0.136493,3.9075,25,24,189816504,285382120,40.61566777058686,40.533057862356024
10,Hoolock leuconedys,Chlorocebus aethiops,0.112477,3.9075,25,24,189816504,188361387,40.61566777058686,40.399827615826005
11,Hoolock leuconedys,Chlorocebus sabaeus,0.11735,3.9075,25,24,189816504,205035733,40.61566777058686,40.45298252515873
12,Hoolock leuconedys,Erythrocebus patas,0.122708,3.9075,25,24,189816504,220936933,40.61566777058686,40.34508175428735
13,Hoolock leuconedys,Cercopithecus mona,0.114773,3.9075,25,24,189816504,213415558,40.61566777058686,40.39017091595789
14,Hoolock leuconedys,Cercopithecus neglectus,0.138086,3.9075,25,24,189816504,264070173,40.61566777058686,39.06223279425127
15,Hoolock leuconedys,Miopithecus talapoin,0.117186,3.9075,25,24,189816504,224813388,40.61566777058686,39.55729658154312
16,Hoolock leuconedys,Papio papio,0.110396,3.9075,25,24,189816504,199860727,40.61566777058686,39.754338158142275
17,Hoolock leuconedys,Papio hamadryas,0.119372,3.9075,25,24,189816504,220863140,40.61566777058686,40.4106715547531
18,Hoolock leuconedys,Papio anubis,0.109668,3.9075,25,24,189816504,195356563,40.61566777058686,40.34269736216134
19,Hoolock leuconedys,Theropithecus gelada,0.112328,3.9075,25,24,189816504,192361734,40.61566777058686,39.77794037917289
20,Hoolock leuconedys,Lophocebus aterrimus,0.114093,3.9075,25,24,189816504,199371837,40.61566777058686,40.423197298738465
21,Hoolock leuconedys,Mandrillus sphinx,0.114916,3.9075,25,24,189816504,199399244,40.61566777058686,40.409299057075565
22,Hoolock leuconedys,Mandrillus leucophaeus,0.108146,3.9075,25,24,189816504,178050827,40.61566777058686,35.73871811431402
23,Hoolock leuconedys,Cercocebus atys,0.10898,3.9075,25,24,189816504,179179471,40.61566777058686,39.54031166627606
24,Hoolock leuconedys,Macaca thibetana,0.110661,3.9075,25,24,189816504,190415591,40.61566777058686,40.48918406268277
25,Hoolock leuconedys,Macaca assamensis,0.108445,3.9075,25,24,189816504,180126843,40.61566777058686,40.47779963893179
