,Tree1,Tree2,VLMC dist,threshold,min_count,max_depth,Tree1 VLMC size,Tree2 VLMC size,Tree1 GC ratio,Tree2 GC ratio
0,Hoolock leuconedys,Symphalangus syndactylus,0.138792,0.0,25,21,1176614740,1282950769,40.61566777058686,40.11323405541729
1,Hoolock leuconedys,Hylobates pileatus,0.122557,0.0,25,21,1176614740,1185006198,40.61566777058686,40.64555888453407
2,Hoolock leuconedys,Hylobates moloch,0.116279,0.0,25,21,1176614740,1172648952,40.61566777058686,39.60913927671327
3,Hoolock leuconedys,Nomascus leucogenys,0.121188,0.0,25,21,1176614740,1200589760,40.61566777058686,40.30296197476748
4,Hoolock leuconedys,Nomascus siki,0.120013,0.0,25,21,1176614740,1173692585,40.61566777058686,40.48972154609308
5,Hoolock leuconedys,Gorilla gorilla,0.140238,0.0,25,21,1176614740,1269516388,40.61566777058686,39.52897855993019
6,Hoolock leuconedys,Pan paniscus,0.140851,0.0,25,21,1176614740,1296549267,40.61566777058686,39.584494024464064
7,Hoolock leuconedys,Homo sapiens subsp. Denisova,0.144956,0.0,25,21,1176614740,1369516645,40.61566777058686,38.559771286613994
8,Hoolock leuconedys,Pongo pygmaeus,0.150713,0.0,25,21,1176614740,1406878464,40.61566777058686,40.56904561665204
9,Hoolock leuconedys,Pongo abelii,0.152931,0.0,25,21,1176614740,1420370122,40.61566777058686,40.533057862356024
10,Hoolock leuconedys,Chlorocebus aethiops,0.145126,0.0,25,21,1176614740,1193125376,40.61566777058686,40.399827615826005
11,Hoolock leuconedys,Chlorocebus sabaeus,0.14939,0.0,25,21,1176614740,1255245569,40.61566777058686,40.45298252515873
12,Hoolock leuconedys,Erythrocebus patas,0.151013,0.0,25,21,1176614740,1270013561,40.61566777058686,40.34508175428735
13,Hoolock leuconedys,Cercopithecus mona,0.147486,0.0,25,21,1176614740,1243678250,40.61566777058686,40.39017091595789
14,Hoolock leuconedys,Cercopithecus neglectus,0.161421,0.0,25,21,1176614740,1344898920,40.61566777058686,39.06223279425127
15,Hoolock leuconedys,Miopithecus talapoin,0.151646,0.0,25,21,1176614740,1265882856,40.61566777058686,39.55729658154312
16,Hoolock leuconedys,Papio papio,0.145873,0.0,25,21,1176614740,1218155742,40.61566777058686,39.754338158142275
17,Hoolock leuconedys,Papio hamadryas,0.149719,0.0,25,21,1176614740,1269528324,40.61566777058686,40.4106715547531
18,Hoolock leuconedys,Papio anubis,0.143795,0.0,25,21,1176614740,1220233202,40.61566777058686,40.34269736216134
19,Hoolock leuconedys,Theropithecus gelada,0.144753,0.0,25,21,1176614740,1206853367,40.61566777058686,39.77794037917289
20,Hoolock leuconedys,Lophocebus aterrimus,0.146303,0.0,25,21,1176614740,1225439018,40.61566777058686,40.423197298738465
