,Tree1,Tree2,VLMC dist,threshold,min_count,max_depth,Tree1 VLMC size,Tree2 VLMC size,Tree1 GC ratio,Tree2 GC ratio
0,Borreliella afzelii,Arthrobacter alpinus,0.303386,0.5,25,9,144069,748500,27.978682244467574,59.87136951613043
1,Borreliella afzelii,Vibrio anguillarum,0.243029,0.5,25,9,144069,628125,27.978682244467574,42.443846001472444
2,Borreliella afzelii,Alkaliphilus oremlandii,0.206627,0.5,25,9,144069,515145,27.978682244467574,35.80915594628076
3,Borreliella afzelii,Pelosinus fermentans,0.202578,0.5,25,9,144069,827390,27.978682244467574,39.297649828423154
4,Borreliella afzelii,Sulfurospirillum deleyianum,0.235848,0.5,25,9,144069,388048,27.978682244467574,38.48787067765764
5,Borreliella afzelii,Azotobacter chroococcum,0.320918,0.5,25,9,144069,684912,27.978682244467574,65.31597237582639
6,Borreliella afzelii,Tateyamaria omphalii,0.308568,0.5,25,9,144069,801061,27.978682244467574,57.438100995154294
7,Borreliella afzelii,Pseudothermotoga lettingae,0.22393,0.5,25,9,144069,348633,27.978682244467574,38.21849805998528
8,Borreliella afzelii,Thauera chlorobenzoica,0.352448,0.5,25,9,144069,526950,27.978682244467574,66.4533384378409
9,Borreliella afzelii,Sebaldella termitidis,0.234569,0.5,25,9,144069,636847,27.978682244467574,32.96258411085452
10,Borreliella afzelii,Pseudoalteromonas piscicida,0.232125,0.5,25,9,144069,916541,27.978682244467574,42.84621102963445
11,Borreliella afzelii,Desulfomonile tiedjei,0.269925,0.5,25,9,144069,1164272,27.978682244467574,49.46903806462937
12,Borreliella afzelii,Burkholderia ubonensis,0.348313,0.5,25,9,144069,791783,27.978682244467574,66.2303048990312
13,Borreliella afzelii,Mycoplasma wenyonii,0.24922,0.5,25,9,144069,108368,27.978682244467574,33.501663813907996
14,Borreliella afzelii,Ehrlichia muris,0.223401,0.5,25,9,144069,204498,27.978682244467574,29.297120645688395
15,Borreliella afzelii,Mycoplasma parvum,0.212355,0.5,25,9,144069,91474,27.978682244467574,26.640338889929012
16,Borreliella afzelii,Streptomyces alboflavus,0.390342,0.5,25,9,144069,796977,27.978682244467574,71.17597501981886
